trade_id,ts,buyer_id,seller_id,item_id,qty,price,listing_id
T0000001,2025-01-01 00:00:00,P00452,P00061,I0019,1,69.16,L0000005
T0000025,2025-01-01 00:00:00,P00420,P00473,I0016,1,49.42,L0000031
T0000026,2025-01-01 00:00:00,P00580,P00553,I0008,1,51.14,L0000036
T0000027,2025-01-01 00:00:00,P00448,P00158,I0004,1,52.48,L0000010
T0000028,2025-01-01 00:00:00,P00008,P00473,I0016,1,49.42,L0000031
T0000029,2025-01-01 00:00:00,P00284,P00045,I0018,1,40.28,L0000002
T0000030,2025-01-01 00:00:00,P00192,P00515,I0009,1,40.82,L0000033
T0000031,2025-01-01 00:00:00,P00311,P00503,I0032,1,33.61,L0000032
T0000032,2025-01-01 00:00:00,P00098,P00215,I0031,1,41.08,L0000015
T0000024,2025-01-01 00:00:00,P00188,P00225,I0015,1,58.55,L0000017
T0000033,2025-01-01 00:00:00,P00485,P00445,I0020,1,57.63,L0000029
T0000036,2025-01-01 00:00:00,P00258,P00095,I0025,1,314.27,L0000007
T0000037,2025-01-01 00:00:00,P00564,P00180,I0037,1,38.19,L0000012
T0000038,2025-01-01 00:00:00,P00015,P00198,I0021,1,55.46,L0000013
T0000039,2025-01-01 00:00:00,P00033,P00215,I0031,1,41.08,L0000015
T0000040,2025-01-01 00:00:00,P00179,P00158,I0004,1,52.48,L0000010
T0000041,2025-01-01 00:00:00,P00585,P00037,I0039,1,50.89,L0000001
T0000042,2025-01-01 00:00:00,P00154,P00123,I0005,1,397.06,L0000009
T0000043,2025-01-01 00:00:00,P00121,P00037,I0039,1,50.89,L0000001
T0000034,2025-01-01 00:00:00,P00487,P00198,I0021,1,55.46,L0000013
T0000023,2025-01-01 00:00:00,P00211,P00570,I0024,1,33.88,L0000037
T0000035,2025-01-01 00:00:00,P00046,P00225,I0015,1,58.55,L0000017
T0000021,2025-01-01 00:00:00,P00023,P00421,I0034,1,33.28,L0000028
T0000022,2025-01-01 00:00:00,P00381,P00599,I0012,1,528.37,L0000040
T0000002,2025-01-01 00:00:00,P00018,P00215,I0031,1,41.08,L0000015
T0000003,2025-01-01 00:00:00,P00480,P00473,I0016,1,49.42,L0000031
T0000004,2025-01-01 00:00:00,P00498,P00180,I0037,1,38.19,L0000012
T0000005,2025-01-01 00:00:00,P00162,P00400,I0017,1,60.25,L0000027
T0000007,2025-01-01 00:00:00,P00492,P00473,I0016,1,49.42,L0000031
T0000008,2025-01-01 00:00:00,P00397,P00164,I0023,1,398.64,L0000011
T0000009,2025-01-01 00:00:00,P00592,P00312,I0011,1,44.98,L0000023
T0000010,2025-01-01 00:00:00,P00599,P00570,I0024,1,33.88,L0000037
T0000006,2025-01-01 00:00:00,P00152,P00052,I0030,1,74.69,L0000003
T0000012,2025-01-01 00:00:00,P00542,P00473,I0016,1,49.42,L0000031
T0000013,2025-01-01 00:00:00,P00494,P00180,I0037,1,38.19,L0000012
T0000014,2025-01-01 00:00:00,P00319,P00289,I0007,1,625.16,L0000020
T0000015,2025-01-01 00:00:00,P00586,P00570,I0024,1,33.88,L0000037
T0000016,2025-01-01 00:00:00,P00549,P00117,I0038,1,368.76,L0000008
T0000017,2025-01-01 00:00:00,P00578,P00570,I0024,1,33.88,L0000037
