player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-01,s_counterparties;s_items;s_trades,3.5;3.5;3.41,0.6028936898624317,0
P00000,2025-01-02,s_trades;s_counterparties;max_pair_as_seller,8.44;7.8;4.97,0.7882821058914035,1
P00000,2025-01-03,s_counterparties;s_trades;seller_hour_entropy,5.65;5.65;3.66,0.6836823941899626,1
P00000,2025-01-04,seller_hour_entropy;s_items;max_pair_as_seller,1.51;1.51;1.34,0.2631959909359968,0
P00001,2025-01-01,s_items;max_pair_as_seller;b_trades,0.48;0.47;0.44,0.0036574188101917925,0
P00001,2025-01-02,buyer_hour_entropy;b_counterparties;b_items,1.51;1.17;1.16,0.04927063205511141,0
P00001,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.008490234062108791,0
P00001,2025-01-04,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.008987003734373855,0
P00002,2025-01-01,b_counterparties;buyer_hour_entropy;b_trades,1.1;1.05;1.0,0.09310406497612343,0
P00002,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.008585617183690141,0
P00002,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.002827724681666608,0
P00002,2025-01-04,max_pair_as_buyer;b_items;b_counterparties,3.52;1.93;1.92,0.5547983051624354,0
P00003,2025-01-01,b_items;b_counterparties;buyer_hour_entropy,1.14;1.1;1.05,0.05552895735427797,0
P00003,2025-01-02,b_price_z_max;buyer_hour_entropy;s_items,0.52;0.52;0.48,0.02219982320297151,0
P00003,2025-01-03,s_items;buyer_hour_entropy;max_pair_as_seller,1.51;1.51;1.34,0.3426882835508876,0
P00003,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.51;1.17;1.16,0.057517315036688284,0
P00004,2025-01-01,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.0035129329699796147,0
P00004,2025-01-02,s_items;max_pair_as_seller;b_trades,0.48;0.47;0.44,0.0011520304973814425,0
P00004,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.003218204175206629,0
P00004,2025-01-04,s_items;max_pair_as_seller;b_items,1.51;1.34;1.14,0.3029800375772631,0
P00005,2025-01-02,b_items;b_counterparties;buyer_hour_entropy,1.14;1.1;1.05,0.050223300283438,0
P00005,2025-01-03,s_items;max_pair_as_seller;b_trades,0.48;0.47;0.44,0.005390092824037469,0
P00005,2025-01-04,buyer_hour_entropy;b_counterparties;b_items,1.51;1.17;1.16,0.12619356547095745,0
P00006,2025-01-01,b_price_z_mean;buyer_hour_entropy;s_items,1.22;0.52;0.48,0.06522317494155543,0
P00006,2025-01-02,max_pair_as_buyer;b_trades;b_items,3.24;3.16;2.68,0.5832895061352611,0
P00006,2025-01-03,buyer_hour_entropy;b_counterparties;b_items,1.51;1.17;1.16,0.07166923622419794,0
P00006,2025-01-04,buyer_hour_entropy;s_items;max_pair_as_seller,0.52;0.48;0.47,0.011476657794181876,0
P00007,2025-01-01,b_price_z_max;s_items;max_pair_as_seller,0.91;0.48;0.47,0.06080426706068533,0
P00007,2025-01-02,b_price_z_mean;b_price_z_max;s_items,0.88;0.61;0.48,0.05785017682129204,0
P00007,2025-01-03,s_items;max_pair_as_seller;b_price_z_max,0.48;0.47;0.46,0.010774928948525124,0
P00007,2025-01-04,b_price_z_mean;s_items;max_pair_as_seller,0.88;0.48;0.47,0.02620175669985402,0
P00008,2025-01-01,b_items;b_counterparties;b_trades,1.91;1.85;1.72,0.3171674022234841,0
P00008,2025-01-02,seller_hour_entropy;s_items;max_pair_as_seller,1.59;1.51;1.34,0.26932350320086695,0
P00008,2025-01-03,s_items;max_pair_as_buyer;seller_hour_entropy,3.5;3.24;2.58,0.5579643045782525,0
P00008,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.14;1.1;1.05,0.05717407309040911,0
P00009,2025-01-01,b_price_z_max;s_items;max_pair_as_seller,0.57;0.48;0.47,0.017779728425165328,0
P00009,2025-01-02,b_items;b_counterparties;buyer_hour_entropy,1.14;1.1;1.05,0.05596405236473458,0
