entity_type,entity_id,risk,code,detail
trade,T0000249,0.85,UNDERPRICED,-123.8σ vs median
trade,T0000194,0.85,UNDERPRICED,-123.8σ vs median
trade,T0000351,0.85,UNDERPRICED,-123.8σ vs median
trade,T0000323,0.85,UNDERPRICED,-123.8σ vs median
trade,T0000493,0.85,UNDERPRICED,-123.8σ vs median
trade,T0000858,0.85,UNDERPRICED,-9.4σ vs median
trade,T0000871,0.85,UNDERPRICED,-9.4σ vs median
trade,T0000938,0.85,UNDERPRICED,-9.4σ vs median
trade,T0000974,0.85,UNDERPRICED,-9.4σ vs median
trade,T0001159,0.85,UNDERPRICED,-9.4σ vs median
trade,T0002509,0.85,OVERPRICED,+7.1σ vs median
trade,T0002590,0.85,OVERPRICED,+7.1σ vs median
trade,T0002638,0.85,OVERPRICED,+7.1σ vs median
trade,T0002673,0.85,OVERPRICED,+7.1σ vs median
trade,T0002696,0.85,OVERPRICED,+7.1σ vs median
trade,T0003185,0.85,OVERPRICED,+11.1σ vs median
trade,T0003228,0.85,OVERPRICED,+11.1σ vs median
trade,T0003221,0.85,OVERPRICED,+4.2σ vs median
trade,T0000649,0.85,UNDERPRICED,-4.1σ vs median
trade,T0000736,0.85,UNDERPRICED,-4.1σ vs median
trade,T0000733,0.85,UNDERPRICED,-4.1σ vs median
trade,T0005783,0.85,UNDERPRICED,-89.9σ vs median
trade,T0000898,0.85,UNDERPRICED,-4.1σ vs median
trade,T0000879,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001020,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001001,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001007,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001059,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001130,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001126,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001093,0.85,UNDERPRICED,-4.1σ vs median
trade,T0001205,0.85,UNDERPRICED,-4.1σ vs median
trade,T0002425,0.85,OVERPRICED,+14.6σ vs median
trade,T0002474,0.85,OVERPRICED,+19.8σ vs median
trade,T0002440,0.85,OVERPRICED,+19.8σ vs median
trade,T0002436,0.85,OVERPRICED,+19.8σ vs median
trade,T0002507,0.85,OVERPRICED,+21.6σ vs median
trade,T0002495,0.85,OVERPRICED,+21.6σ vs median
trade,T0002592,0.85,OVERPRICED,+19.5σ vs median
trade,T0002587,0.85,OVERPRICED,+19.5σ vs median
trade,T0002624,0.85,OVERPRICED,+19.5σ vs median
trade,T0002652,0.85,OVERPRICED,+19.5σ vs median
trade,T0002760,0.85,OVERPRICED,+19.5σ vs median
trade,T0002776,0.85,UNDERPRICED,-8.4σ vs median
trade,T0002818,0.85,UNDERPRICED,-8.4σ vs median
trade,T0002881,0.85,UNDERPRICED,-8.4σ vs median
trade,T0002879,0.85,UNDERPRICED,-8.4σ vs median
trade,T0004850,0.85,OVERPRICED,+26.6σ vs median
trade,T0005076,0.85,OVERPRICED,+9.5σ vs median
trade,T0005128,0.85,OVERPRICED,+9.5σ vs median
trade,T0005194,0.85,OVERPRICED,+9.5σ vs median
trade,T0005210,0.85,OVERPRICED,+9.5σ vs median
trade,T0005206,0.85,OVERPRICED,+9.5σ vs median
