trade_id,ts,buyer_id,seller_id,item_id,qty,price,listing_id
T0000001,2025-01-01 00:00:00,P00463,P00164,I0015,1,43.44,L0000012
T0000027,2025-01-01 00:00:00,P00336,P00375,I0038,1,47.86,L0000029
T0000028,2025-01-01 00:00:00,P00360,P00490,I0007,1,72.97,L0000038
T0000029,2025-01-01 00:00:00,P00524,P00463,I0010,1,40.13,L0000037
T0000030,2025-01-01 00:00:00,P00152,P00385,I0003,1,415.89,L0000032
T0000031,2025-01-01 00:00:00,P00193,P00463,I0010,1,40.13,L0000037
T0000039,2025-01-01 00:00:00,P00256,P00348,I0002,1,43.82,L0000028
T0000033,2025-01-01 00:00:00,P00276,P00377,I0014,1,39.49,L0000030
T0000034,2025-01-01 00:00:00,P00150,P00494,I0023,1,50.72,L0000039
T0000035,2025-01-01 00:00:00,P00112,P00503,I0004,1,49.38,L0000040
T0000032,2025-01-01 00:00:00,P00453,P00389,I0036,1,40.97,L0000033
T0000037,2025-01-01 00:00:00,P00381,P00383,I0013,1,376.92,L0000031
T0000025,2025-01-01 00:00:00,P00323,P00463,I0010,1,40.13,L0000037
T0000036,2025-01-01 00:00:00,P00284,P00067,I0034,1,33.53,L0000002
T0000044,2025-01-01 00:00:00,P00528,P00109,I0018,1,34.87,L0000009
T0000043,2025-01-01 00:00:00,P00470,P00494,I0023,1,50.72,L0000039
T0000045,2025-01-01 00:00:00,P00234,P00439,I0033,1,502.58,L0000036
T0000041,2025-01-01 00:00:00,P00095,P00490,I0007,1,72.97,L0000038
T0000040,2025-01-01 00:00:00,P00117,P00515,I0039,1,45.21,L0000041
T0000038,2025-01-01 00:00:00,P00298,P00109,I0018,1,34.87,L0000009
T0000026,2025-01-01 00:00:00,P00544,P00274,I0011,1,36.13,L0000023
T0000024,2025-01-01 00:00:00,P00045,P00224,I0026,1,56.87,L0000018
T0000042,2025-01-01 00:00:00,P00515,P00109,I0018,1,34.87,L0000009
T0000022,2025-01-01 00:00:00,P00015,P00156,I0012,1,53.79,L0000011
T0000019,2025-01-01 00:00:00,P00142,P00341,I0031,1,438.33,L0000027
T0000002,2025-01-01 00:00:00,P00334,P00018,I0001,1,386.64,L0000001
T0000003,2025-01-01 00:00:00,P00296,P00503,I0004,1,49.38,L0000040
T0000004,2025-01-01 00:00:00,P00441,P00192,I0020,1,63.92,L0000014
T0000006,2025-01-01 00:00:00,P00143,P00515,I0039,1,45.21,L0000041
T0000007,2025-01-01 00:00:00,P00432,P00503,I0004,1,49.38,L0000040
T0000009,2025-01-01 00:00:00,P00510,P00156,I0012,1,53.79,L0000011
T0000010,2025-01-01 00:00:00,P00042,P00463,I0010,1,40.13,L0000037
T0000011,2025-01-01 00:00:00,P00026,P00192,I0020,1,63.92,L0000014
T0000005,2025-01-01 00:00:00,P00547,P00439,I0033,1,502.58,L0000036
T0000008,2025-01-01 00:00:00,P00597,P00383,I0013,1,376.92,L0000031
T0000014,2025-01-01 00:00:00,P00158,P00109,I0018,1,34.87,L0000009
T0000013,2025-01-01 00:00:00,P00101,P00377,I0014,1,39.49,L0000030
T0000021,2025-01-01 00:00:00,P00318,P00018,I0001,1,386.64,L0000001
T0000012,2025-01-01 00:00:00,P00283,P00560,I0029,1,41.7,L0000045
T0000020,2025-01-01 00:00:00,P00025,P00404,I0000,1,342.91,L0000034
T0000023,2025-01-01 00:00:00,P00424,P00274,I0011,1,36.13,L0000023
T0000017,2025-01-01 00:00:00,P00390,P00164,I0015,1,43.44,L0000012
T0000016,2025-01-01 00:00:00,P00562,P00224,I0026,1,56.87,L0000018
T0000015,2025-01-01 00:00:00,P00358,P00515,I0039,1,45.21,L0000041
T0000018,2025-01-01 00:00:00,P00339,P00383,I0013,1,376.92,L0000031
T0005743,2025-01-01 00:41:00,P00081,P00230,I0000,1,746.64,L0004524
T0005757,2025-01-01 00:43:00,P00221,P00228,I0034,1,68.11,L0004538
T0005741,2025-01-01 00:45:00,P00443,P00081,I0000,1,746.64,L0004522
T0005767,2025-01-01 00:46:00,P00062,P00207,I0027,1,80.26,L0004548
T0005760,2025-01-01 00:48:00,P00221,P00228,I0034,1,68.11,L0004541
T0005752,2025-01-01 00:51:00,P00103,P00442,I0034,1,68.11,L0004533
T0005775,2025-01-01 00:52:00,P00476,P00123,I0007,1,136.29,L0004556
T0005761,2025-01-01 00:55:00,P00076,P00221,I0034,1,68.11,L0004542
T0005776,2025-01-01 00:59:00,P00543,P00476,I0007,1,136.29,L0004557
T0005754,2025-01-01 00:59:00,P00442,P00378,I0034,1,68.11,L0004535
T0005751,2025-01-01 00:59:00,P00442,P00378,I0034,1,68.11,L0004532
T0000101,2025-01-01 01:00:00,P00370,P00416,I0012,1,52.71,L0000080
T0000107,2025-01-01 01:00:00,P00293,P00410,I0006,1,82.94,L0000079
T0000112,2025-01-01 01:00:00,P00403,P00298,I0016,1,469.56,L0000026
T0000081,2025-01-01 01:00:00,P00108,P00389,I0036,1,40.97,L0000033
T0000094,2025-01-01 01:00:00,P00188,P00288,I0010,1,27.85,L0000071
T0000093,2025-01-01 01:00:00,P00466,P00282,I0035,1,659.61,L0000070
T0000080,2025-01-01 01:00:00,P00067,P00207,I0025,1,53.28,L0000015
T0000095,2025-01-01 01:00:00,P00386,P00216,I0028,1,458.73,L0000017
T0000090,2025-01-01 01:00:00,P00389,P00341,I0031,1,438.33,L0000027
T0000089,2025-01-01 01:00:00,P00313,P00418,I0030,1,55.04,L0000082
T0000087,2025-01-01 01:00:00,P00450,P00051,I0007,1,69.78,L0000056
T0000086,2025-01-01 01:00:00,P00453,P00410,I0006,1,82.94,L0000079
T0000084,2025-01-01 01:00:00,P00035,P00389,I0036,1,40.97,L0000033
T0000083,2025-01-01 01:00:00,P00029,P00560,I0029,1,41.7,L0000045
T0000091,2025-01-01 01:00:00,P00273,P00348,I0002,1,43.82,L0000028
T0000092,2025-01-01 01:00:00,P00158,P00506,I0023,1,36.27,L0000087
T0000105,2025-01-01 01:00:00,P00163,P00479,I0018,1,34.34,L0000086
T0000100,2025-01-01 01:00:00,P00480,P00164,I0015,1,43.44,L0000012
T0000111,2025-01-01 01:00:00,P00143,P00385,I0003,1,415.89,L0000032
T0000059,2025-01-01 01:00:00,P00479,P00375,I0038,1,47.86,L0000029
T0000073,2025-01-01 01:00:00,P00085,P00341,I0031,1,438.33,L0000027
T0000102,2025-01-01 01:00:00,P00359,P00416,I0012,1,52.71,L0000080
T0000103,2025-01-01 01:00:00,P00448,P00000,I0020,1,51.49,L0000050
T0000057,2025-01-01 01:00:00,P00351,P00164,I0015,1,43.44,L0000012
T0000104,2025-01-01 01:00:00,P00574,P00164,I0015,1,43.44,L0000012
T0000106,2025-01-01 01:00:00,P00496,P00018,I0032,1,469.43,L0000052
T0000097,2025-01-01 01:00:00,P00021,P00000,I0020,1,51.49,L0000050
T0000108,2025-01-01 01:00:00,P00122,P00298,I0016,1,469.56,L0000026
T0000109,2025-01-01 01:00:00,P00127,P00516,I0033,1,442.0,L0000089
T0000058,2025-01-01 01:00:00,P00059,P00288,I0010,1,27.85,L0000071
T0000078,2025-01-01 01:00:00,P00304,P00164,I0015,1,43.44,L0000012
T0000099,2025-01-01 01:00:00,P00356,P00479,I0018,1,34.34,L0000086
T0000082,2025-01-01 01:00:00,P00525,P00216,I0028,1,458.73,L0000017
T0000085,2025-01-01 01:00:00,P00119,P00375,I0038,1,47.86,L0000029
T0000096,2025-01-01 01:00:00,P00199,P00375,I0038,1,47.86,L0000029
T0000074,2025-01-01 01:00:00,P00312,P00216,I0028,1,458.73,L0000017
T0000075,2025-01-01 01:00:00,P00557,P00389,I0036,1,40.97,L0000033
T0000062,2025-01-01 01:00:00,P00192,P00164,I0015,1,43.44,L0000012
T0000063,2025-01-01 01:00:00,P00485,P00479,I0018,1,34.34,L0000086
T0000054,2025-01-01 01:00:00,P00548,P00341,I0031,1,438.33,L0000027
T0000061,2025-01-01 01:00:00,P00398,P00341,I0031,1,438.33,L0000027
T0000072,2025-01-01 01:00:00,P00420,P00018,I0001,1,386.64,L0000001
T0000079,2025-01-01 01:00:00,P00509,P00037,I0009,1,35.72,L0000054
T0000047,2025-01-01 01:00:00,P00129,P00516,I0033,1,442.0,L0000089
T0000048,2025-01-01 01:00:00,P00555,P00404,I0000,1,342.91,L0000034
T0000049,2025-01-01 01:00:00,P00076,P00000,I0020,1,51.49,L0000050
T0000050,2025-01-01 01:00:00,P00121,P00224,I0026,1,56.87,L0000018
T0000052,2025-01-01 01:00:00,P00044,P00375,I0038,1,47.86,L0000029
T0005750,2025-01-01 01:00:00,P00378,P00103,I0034,1,68.11,L0004531
T0000046,2025-01-01 01:00:00,P00117,P00584,I0022,1,46.14,L0000048
T0000071,2025-01-01 01:00:00,P00017,P00000,I0020,1,51.49,L0000050
T0000051,2025-01-01 01:00:00,P00102,P00416,I0012,1,52.71,L0000080
T0000077,2025-01-01 01:00:00,P00193,P00274,I0011,1,36.13,L0000023
T0000068,2025-01-01 01:00:00,P00254,P00207,I0025,1,53.28,L0000015
T0000067,2025-01-01 01:00:00,P00025,P00084,I0027,1,36.48,L0000006
T0000066,2025-01-01 01:00:00,P00357,P00418,I0030,1,55.04,L0000082
T0000065,2025-01-01 01:00:00,P00294,P00503,I0004,1,49.38,L0000040
T0000064,2025-01-01 01:00:00,P00175,P00416,I0012,1,52.71,L0000080
T0000069,2025-01-01 01:00:00,P00149,P00389,I0036,1,40.97,L0000033
T0000070,2025-01-01 01:00:00,P00316,P00195,I0014,1,39.41,L0000064
T0000060,2025-01-01 01:00:00,P00301,P00515,I0039,1,45.21,L0000041
T0000076,2025-01-01 01:00:00,P00270,P00515,I0017,1,40.34,L0000088
T0000088,2025-01-01 01:00:00,P00598,P00417,I0034,1,25.93,L0000081
T0000053,2025-01-01 01:00:00,P00167,P00195,I0014,1,39.41,L0000064
