item_id,rarity,base_value,drop_rate
I0000,rare,414.9,0.014286624978858879
I0001,common,51.27,0.08814205448893982
I0002,rare,373.41,0.01730732653872783
I0003,common,53.07,0.08628300543547203
I0004,common,77.67,0.05468066480116992
I0005,common,37.37,0.05980279946505445
I0006,legendary,2386.69,0.0019842955219975503
I0007,rare,462.73,0.015961667915830514
I0008,common,51.47,0.05294015512214244
I0009,common,56.49,0.1443083279960409
I0010,common,46.28,0.05316268853336553
I0011,rare,472.37,0.018799895451405254
I0012,common,35.18,0.10241666754459054
I0013,common,60.12,0.11080557163667336
I0014,legendary,2447.21,0.001832187671283513
I0015,common,51.62,0.1365677267714666
I0016,legendary,3598.34,0.0016560560856184832
I0017,common,48.05,0.05161074505078248
I0018,common,61.88,0.06176878490945346
I0019,common,45.67,0.10937360637832916
I0020,rare,449.67,0.014484037288082053
I0021,rare,405.4,0.013141052625297717
I0022,rare,422.18,0.006088952300642158
I0023,common,56.16,0.07905659236624533
I0024,common,58.7,0.12445362624628441
I0025,common,46.87,0.07698061299085529
I0026,common,62.32,0.09908520371824382
I0027,common,46.94,0.11341651198450237
I0028,common,44.94,0.1365846686063695
I0029,common,66.21,0.07700453107674608
I0030,rare,271.87,0.005949055261783291
I0031,common,66.18,0.03435296464013019
I0032,common,56.89,0.024516757128460465
I0033,common,44.2,0.0763664924694675
I0034,common,41.9,0.08120761332322093
I0035,common,40.37,0.06399916147019753
I0036,rare,447.11,0.005189032517918808
I0037,legendary,3932.09,0.0020600696701391957
I0038,legendary,3843.4,0.0027237370253633876
I0039,common,46.18,0.0948706424296998
