player_id,region,playstyle,account_age_days
P00000,ASIA,casual,85
P00001,ASIA,raider,713
P00002,NA,casual,718
P00003,ASIA,trader,23
P00004,ASIA,trader,466
P00005,NA,casual,524
P00006,NA,raider,1069
P00007,NA,raider,702
P00008,ASIA,farmer,568
P00009,EU,casual,1078
P00010,EU,trader,754
P00011,ASIA,farmer,949
P00012,NA,casual,666
P00013,NA,casual,852
P00014,NA,casual,4
P00015,NA,farmer,733
P00016,ASIA,casual,30
P00017,NA,casual,325
P00018,EU,farmer,461
P00019,EU,trader,524
P00020,NA,casual,358
P00021,EU,casual,348
P00022,ASIA,casual,1010
P00023,EU,farmer,465
P00024,NA,trader,872
P00025,EU,casual,776
P00026,NA,trader,781
P00027,EU,trader,873
P00028,EU,trader,36
P00029,EU,casual,594
P00030,NA,raider,607
P00031,EU,casual,439
P00032,EU,casual,68
P00033,ASIA,farmer,661
P00034,EU,farmer,458
P00035,ASIA,casual,1079
P00036,NA,casual,248
P00037,NA,raider,753
P00038,EU,casual,990
P00039,EU,raider,578
P00040,EU,farmer,891
P00041,NA,casual,396
P00042,NA,casual,1046
P00043,ASIA,casual,640
P00044,EU,raider,1011
P00045,NA,casual,1059
P00046,ASIA,casual,191
P00047,NA,trader,775
P00048,EU,raider,147
P00049,EU,casual,843
P00050,ASIA,casual,764
P00051,EU,casual,782
P00052,ASIA,casual,447
P00053,ASIA,casual,1015
P00054,NA,raider,679
P00055,EU,farmer,760
P00056,NA,casual,472
P00057,EU,casual,665
P00058,NA,casual,218
P00059,EU,casual,487
P00060,EU,casual,592
P00061,NA,casual,208
P00062,EU,farmer,210
P00063,ASIA,casual,739
P00064,ASIA,trader,989
P00065,NA,farmer,1085
P00066,EU,raider,639
P00067,ASIA,raider,641
P00068,NA,casual,669
P00069,EU,casual,600
P00070,ASIA,raider,816
P00071,ASIA,raider,6
P00072,ASIA,casual,323
P00073,NA,casual,716
P00074,NA,raider,479
P00075,NA,casual,975
P00076,NA,trader,307
P00077,ASIA,raider,1069
P00078,EU,casual,570
P00079,EU,casual,141
P00080,EU,casual,972
P00081,EU,farmer,547
P00082,ASIA,farmer,713
P00083,ASIA,casual,898
P00084,ASIA,casual,373
P00085,EU,trader,922
P00086,NA,casual,195
P00087,ASIA,raider,722
P00088,ASIA,casual,936
P00089,EU,casual,540
P00090,NA,trader,829
P00091,NA,trader,876
P00092,NA,farmer,700
P00093,ASIA,farmer,1092
P00094,EU,casual,729
P00095,NA,trader,1078
P00096,NA,casual,114
P00097,ASIA,casual,306
P00098,NA,casual,341
P00099,ASIA,raider,243
P00100,ASIA,casual,428
P00101,NA,casual,605
P00102,EU,farmer,802
P00103,ASIA,casual,303
P00104,EU,casual,470
P00105,EU,casual,251
P00106,NA,farmer,120
P00107,NA,trader,416
P00108,EU,casual,556
P00109,ASIA,farmer,872
P00110,NA,casual,956
P00111,ASIA,casual,238
P00112,ASIA,raider,1082
P00113,ASIA,casual,401
P00114,NA,casual,808
P00115,ASIA,raider,754
P00116,ASIA,raider,658
P00117,ASIA,raider,835
P00118,NA,casual,152
P00119,EU,casual,999
P00120,EU,raider,551
P00121,NA,casual,17
P00122,NA,casual,901
P00123,ASIA,raider,638
P00124,ASIA,raider,240
P00125,EU,casual,375
P00126,ASIA,casual,289
P00127,ASIA,casual,519
P00128,NA,trader,948
P00129,NA,casual,728
P00130,EU,farmer,481
P00131,NA,casual,275
P00132,EU,casual,966
P00133,EU,casual,523
P00134,NA,raider,105
P00135,ASIA,casual,652
P00136,NA,trader,978
P00137,EU,raider,294
P00138,NA,casual,283
P00139,EU,farmer,738
P00140,ASIA,casual,509
P00141,EU,casual,374
P00142,NA,casual,181
P00143,EU,casual,768
P00144,ASIA,casual,643
P00145,EU,casual,370
P00146,NA,casual,646
P00147,NA,casual,1049
P00148,ASIA,casual,787
P00149,EU,trader,898
P00150,EU,casual,263
P00151,EU,casual,460
P00152,NA,casual,870
P00153,NA,casual,286
P00154,NA,casual,829
P00155,NA,trader,372
P00156,EU,casual,721
P00157,EU,casual,36
P00158,EU,casual,596
P00159,NA,casual,640
P00160,EU,raider,735
P00161,NA,farmer,843
P00162,EU,casual,486
P00163,EU,casual,678
P00164,EU,casual,671
P00165,NA,casual,482
P00166,EU,raider,834
P00167,ASIA,casual,465
P00168,NA,raider,625
P00169,ASIA,trader,976
P00170,EU,casual,315
P00171,NA,farmer,482
P00172,ASIA,casual,967
P00173,EU,casual,633
P00174,ASIA,casual,85
P00175,ASIA,casual,492
P00176,EU,raider,286
P00177,NA,casual,781
P00178,NA,casual,463
P00179,EU,farmer,38
P00180,NA,raider,167
P00181,EU,casual,210
P00182,NA,casual,352
P00183,NA,trader,624
P00184,ASIA,farmer,225
P00185,EU,casual,649
P00186,NA,casual,588
P00187,ASIA,trader,563
P00188,NA,raider,755
P00189,EU,casual,300
P00190,EU,farmer,35
P00191,EU,raider,484
P00192,ASIA,raider,504
P00193,EU,casual,609
P00194,NA,casual,1088
P00195,ASIA,trader,128
P00196,EU,casual,975
P00197,ASIA,farmer,1078
P00198,EU,casual,486
P00199,EU,farmer,1036
P00200,NA,casual,545
P00201,EU,casual,36
P00202,ASIA,casual,992
P00203,EU,farmer,64
P00204,ASIA,casual,682
P00205,EU,raider,364
P00206,ASIA,casual,246
P00207,EU,raider,1040
P00208,NA,farmer,683
P00209,ASIA,casual,1010
P00210,ASIA,casual,946
P00211,EU,casual,1051
P00212,EU,casual,418
P00213,EU,casual,776
P00214,EU,farmer,1025
P00215,ASIA,casual,987
P00216,ASIA,casual,725
P00217,EU,casual,145
P00218,ASIA,casual,60
P00219,ASIA,farmer,632
P00220,EU,farmer,676
P00221,NA,casual,333
P00222,NA,raider,459
P00223,NA,farmer,158
P00224,NA,casual,893
P00225,EU,casual,462
P00226,EU,casual,549
P00227,EU,farmer,236
P00228,NA,raider,405
P00229,NA,raider,237
P00230,EU,raider,930
P00231,NA,trader,197
P00232,EU,casual,880
P00233,NA,raider,523
P00234,EU,farmer,918
P00235,NA,casual,119
P00236,EU,casual,510
P00237,EU,casual,457
P00238,EU,trader,1027
P00239,EU,casual,367
P00240,EU,casual,580
P00241,EU,casual,1071
P00242,NA,raider,919
P00243,ASIA,casual,225
P00244,EU,trader,66
P00245,ASIA,casual,880
P00246,EU,casual,460
P00247,NA,casual,515
P00248,EU,trader,1046
P00249,ASIA,casual,600
P00250,ASIA,casual,950
P00251,EU,casual,172
P00252,NA,raider,495
P00253,ASIA,raider,83
P00254,NA,raider,876
P00255,ASIA,trader,384
P00256,EU,farmer,78
P00257,ASIA,casual,400
P00258,EU,casual,114
P00259,NA,trader,18
P00260,ASIA,farmer,638
P00261,EU,casual,368
P00262,NA,casual,158
P00263,NA,casual,921
P00264,NA,farmer,1006
P00265,ASIA,casual,154
P00266,ASIA,trader,222
P00267,NA,casual,857
P00268,ASIA,farmer,706
P00269,EU,casual,676
P00270,EU,casual,381
P00271,EU,casual,16
P00272,ASIA,casual,202
P00273,ASIA,casual,1063
P00274,NA,raider,473
P00275,EU,casual,768
P00276,NA,trader,1025
P00277,NA,farmer,759
P00278,NA,farmer,446
P00279,EU,raider,180
P00280,EU,farmer,22
P00281,EU,raider,24
P00282,NA,farmer,446
P00283,ASIA,casual,732
P00284,ASIA,casual,291
P00285,EU,raider,107
P00286,NA,casual,231
P00287,EU,raider,135
P00288,EU,casual,1026
P00289,EU,casual,853
P00290,EU,trader,528
P00291,EU,casual,278
P00292,EU,casual,1027
P00293,ASIA,casual,174
P00294,NA,farmer,537
P00295,NA,raider,485
P00296,EU,casual,567
P00297,EU,casual,1030
P00298,EU,trader,1078
P00299,EU,casual,562
P00300,NA,casual,498
P00301,EU,farmer,226
P00302,ASIA,raider,223
P00303,ASIA,trader,286
P00304,NA,casual,127
P00305,NA,raider,57
P00306,NA,farmer,101
P00307,NA,casual,434
P00308,ASIA,casual,379
P00309,NA,raider,253
P00310,NA,casual,205
P00311,EU,casual,793
P00312,EU,casual,331
P00313,NA,casual,137
P00314,EU,trader,314
P00315,EU,casual,440
P00316,NA,casual,110
P00317,EU,raider,496
P00318,EU,casual,321
P00319,EU,farmer,193
P00320,ASIA,casual,627
P00321,EU,raider,1015
P00322,EU,farmer,887
P00323,EU,farmer,438
P00324,ASIA,casual,627
P00325,NA,casual,605
P00326,EU,casual,619
P00327,ASIA,farmer,564
P00328,NA,casual,1005
P00329,EU,casual,480
P00330,ASIA,casual,763
P00331,NA,trader,874
P00332,ASIA,casual,880
P00333,NA,casual,1045
P00334,EU,casual,1011
P00335,EU,raider,785
P00336,EU,farmer,23
P00337,ASIA,trader,833
P00338,ASIA,raider,698
P00339,ASIA,casual,77
P00340,ASIA,casual,1053
P00341,EU,casual,214
P00342,ASIA,farmer,993
P00343,NA,casual,449
P00344,EU,farmer,259
P00345,EU,casual,1070
P00346,EU,farmer,344
P00347,NA,casual,537
P00348,ASIA,casual,113
P00349,EU,raider,729
P00350,EU,casual,824
P00351,EU,casual,803
P00352,NA,casual,1079
P00353,ASIA,trader,625
P00354,NA,casual,139
P00355,EU,farmer,879
P00356,ASIA,casual,1005
P00357,EU,casual,703
P00358,ASIA,casual,151
P00359,EU,casual,368
P00360,EU,farmer,274
P00361,ASIA,raider,259
P00362,NA,raider,874
P00363,NA,casual,356
