entity_type,entity_id,fraud_type,is_fraud
trade,T0005677,wash_trading,1
listing,L0004509,wash_trading,1
trade,T0005678,wash_trading,1
listing,L0004510,wash_trading,1
trade,T0005679,wash_trading,1
listing,L0004511,wash_trading,1
trade,T0005680,wash_trading,1
listing,L0004512,wash_trading,1
trade,T0005681,wash_trading,1
listing,L0004513,wash_trading,1
trade,T0005682,wash_trading,1
listing,L0004514,wash_trading,1
trade,T0005683,wash_trading,1
listing,L0004515,wash_trading,1
trade,T0005684,wash_trading,1
listing,L0004516,wash_trading,1
trade,T0005685,wash_trading,1
listing,L0004517,wash_trading,1
trade,T0005686,wash_trading,1
listing,L0004518,wash_trading,1
trade,T0005687,wash_trading,1
listing,L0004519,wash_trading,1
trade,T0005688,wash_trading,1
listing,L0004520,wash_trading,1
trade,T0005689,wash_trading,1
listing,L0004521,wash_trading,1
trade,T0005690,wash_trading,1
listing,L0004522,wash_trading,1
trade,T0005691,wash_trading,1
listing,L0004523,wash_trading,1
trade,T0005692,wash_trading,1
listing,L0004524,wash_trading,1
trade,T0005693,wash_trading,1
listing,L0004525,wash_trading,1
trade,T0005694,wash_trading,1
listing,L0004526,wash_trading,1
trade,T0005695,wash_trading,1
listing,L0004527,wash_trading,1
trade,T0005696,wash_trading,1
listing,L0004528,wash_trading,1
trade,T0005697,wash_trading,1
listing,L0004529,wash_trading,1
trade,T0005698,wash_trading,1
listing,L0004530,wash_trading,1
trade,T0005699,wash_trading,1
listing,L0004531,wash_trading,1
trade,T0005700,wash_trading,1
listing,L0004532,wash_trading,1
trade,T0005701,wash_trading,1
listing,L0004533,wash_trading,1
trade,T0005702,wash_trading,1
listing,L0004534,wash_trading,1
trade,T0005703,wash_trading,1
listing,L0004535,wash_trading,1
trade,T0005704,wash_trading,1
listing,L0004536,wash_trading,1
trade,T0005705,wash_trading,1
listing,L0004537,wash_trading,1
trade,T0005706,wash_trading,1
listing,L0004538,wash_trading,1
trade,T0005707,wash_trading,1
listing,L0004539,wash_trading,1
trade,T0005708,wash_trading,1
listing,L0004540,wash_trading,1
trade,T0005709,wash_trading,1
listing,L0004541,wash_trading,1
trade,T0005710,wash_trading,1
listing,L0004542,wash_trading,1
trade,T0005711,wash_trading,1
listing,L0004543,wash_trading,1
trade,T0005712,wash_trading,1
listing,L0004544,wash_trading,1
trade,T0005713,wash_trading,1
listing,L0004545,wash_trading,1
trade,T0005714,wash_trading,1
