listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00001,EU,I0007,1,45.03,2025-01-02 02:00:00
L0000023,2025-01-01 00:00:00,P00345,NA,I0033,1,39.17,2025-01-02 09:00:00
L0000024,2025-01-01 00:00:00,P00348,EU,I0030,1,30.94,2025-01-01 19:00:00
L0000025,2025-01-01 00:00:00,P00375,NA,I0008,2,45.89,2025-01-01 23:00:00
L0000026,2025-01-01 00:00:00,P00385,EU,I0017,1,72.26,2025-01-01 17:00:00
L0000027,2025-01-01 00:00:00,P00392,NA,I0024,1,48.72,2025-01-02 02:00:00
L0000028,2025-01-01 00:00:00,P00402,NA,I0027,1,44.03,2025-01-02 03:00:00
L0000030,2025-01-01 00:00:00,P00456,NA,I0021,2,54.55,2025-01-01 20:00:00
L0000032,2025-01-01 00:00:00,P00523,EU,I0003,1,35.09,2025-01-01 13:00:00
L0000029,2025-01-01 00:00:00,P00433,NA,I0004,1,60.51,2025-01-02 11:00:00
L0000034,2025-01-01 00:00:00,P00535,ASIA,I0025,2,52.05,2025-01-01 16:00:00
L0000035,2025-01-01 00:00:00,P00547,NA,I0021,1,54.13,2025-01-02 03:00:00
L0000036,2025-01-01 00:00:00,P00552,EU,I0004,2,62.13,2025-01-02 02:00:00
L0000037,2025-01-01 00:00:00,P00555,ASIA,I0013,1,55.04,2025-01-01 17:00:00
L0000038,2025-01-01 00:00:00,P00561,EU,I0027,1,53.78,2025-01-01 13:00:00
L0000040,2025-01-01 00:00:00,P00592,ASIA,I0009,1,55.5,2025-01-01 15:00:00
L0000033,2025-01-01 00:00:00,P00533,EU,I0010,2,20.87,2025-01-01 18:00:00
L0000021,2025-01-01 00:00:00,P00312,ASIA,I0009,2,47.81,2025-01-02 01:00:00
L0000022,2025-01-01 00:00:00,P00321,EU,I0017,1,71.37,2025-01-02 07:00:00
L0000012,2025-01-01 00:00:00,P00134,NA,I0015,1,46.07,2025-01-01 12:00:00
L0000039,2025-01-01 00:00:00,P00571,NA,I0037,1,292.93,2025-01-01 17:00:00
L0000019,2025-01-01 00:00:00,P00300,ASIA,I0021,2,53.05,2025-01-02 07:00:00
L0000020,2025-01-01 00:00:00,P00309,EU,I0003,1,34.56,2025-01-01 23:00:00
L0000002,2025-01-01 00:00:00,P00023,EU,I0004,1,49.76,2025-01-01 21:00:00
L0000003,2025-01-01 00:00:00,P00026,NA,I0032,1,56.9,2025-01-01 17:00:00
L0000031,2025-01-01 00:00:00,P00499,EU,I0033,1,42.43,2025-01-01 15:00:00
