entity_type,entity_id,fraud_type,is_fraud
trade,T0005771,wash_trading,1
listing,L0004494,wash_trading,1
trade,T0005772,wash_trading,1
listing,L0004495,wash_trading,1
trade,T0005773,wash_trading,1
listing,L0004496,wash_trading,1
trade,T0005774,wash_trading,1
listing,L0004497,wash_trading,1
trade,T0005775,wash_trading,1
listing,L0004498,wash_trading,1
trade,T0005776,wash_trading,1
listing,L0004499,wash_trading,1
trade,T0005777,wash_trading,1
listing,L0004500,wash_trading,1
trade,T0005778,wash_trading,1
listing,L0004501,wash_trading,1
trade,T0005779,wash_trading,1
listing,L0004502,wash_trading,1
trade,T0005780,wash_trading,1
listing,L0004503,wash_trading,1
trade,T0005781,wash_trading,1
listing,L0004504,wash_trading,1
trade,T0005782,wash_trading,1
listing,L0004505,wash_trading,1
trade,T0005783,wash_trading,1
listing,L0004506,wash_trading,1
trade,T0005784,wash_trading,1
listing,L0004507,wash_trading,1
trade,T0005785,wash_trading,1
listing,L0004508,wash_trading,1
trade,T0005786,wash_trading,1
listing,L0004509,wash_trading,1
trade,T0005787,wash_trading,1
listing,L0004510,wash_trading,1
trade,T0005788,wash_trading,1
listing,L0004511,wash_trading,1
trade,T0005789,wash_trading,1
listing,L0004512,wash_trading,1
trade,T0005790,wash_trading,1
listing,L0004513,wash_trading,1
trade,T0005791,wash_trading,1
listing,L0004514,wash_trading,1
trade,T0005792,wash_trading,1
listing,L0004515,wash_trading,1
trade,T0005793,wash_trading,1
listing,L0004516,wash_trading,1
trade,T0005794,wash_trading,1
listing,L0004517,wash_trading,1
trade,T0005795,wash_trading,1
listing,L0004518,wash_trading,1
trade,T0005796,wash_trading,1
listing,L0004519,wash_trading,1
trade,T0005797,wash_trading,1
listing,L0004520,wash_trading,1
trade,T0005798,wash_trading,1
listing,L0004521,wash_trading,1
trade,T0005799,wash_trading,1
listing,L0004522,wash_trading,1
trade,T0005800,wash_trading,1
listing,L0004523,wash_trading,1
trade,T0005801,wash_trading,1
listing,L0004524,wash_trading,1
trade,T0005802,wash_trading,1
listing,L0004525,wash_trading,1
trade,T0005803,wash_trading,1
listing,L0004526,wash_trading,1
trade,T0005804,wash_trading,1
listing,L0004527,wash_trading,1
trade,T0005805,wash_trading,1
listing,L0004528,wash_trading,1
trade,T0005806,wash_trading,1
listing,L0004529,wash_trading,1
trade,T0005807,wash_trading,1
listing,L0004530,wash_trading,1
trade,T0005808,wash_trading,1
listing,L0004531,wash_trading,1
trade,T0005809,wash_trading,1
listing,L0004532,wash_trading,1
trade,T0005810,wash_trading,1
listing,L0004533,wash_trading,1
trade,T0005811,wash_trading,1
listing,L0004534,wash_trading,1
trade,T0005812,wash_trading,1
listing,L0004535,wash_trading,1
trade,T0005813,wash_trading,1
listing,L0004536,wash_trading,1
trade,T0005814,wash_trading,1
listing,L0004537,wash_trading,1
trade,T0005815,wash_trading,1
listing,L0004538,wash_trading,1
trade,T0005816,wash_trading,1
listing,L0004539,wash_trading,1
trade,T0005817,wash_trading,1
listing,L0004540,wash_trading,1
trade,T0005818,wash_trading,1
listing,L0004541,wash_trading,1
trade,T0005819,mule_transfer,1
listing,L0004542,mule_transfer,1
account,P00550,mule_transfer,1
trade,T0005820,mule_transfer,1
listing,L0004543,mule_transfer,1
account,P00012,mule_transfer,1
trade,T0005821,mule_transfer,1
listing,L0004544,mule_transfer,1
account,P00146,mule_transfer,1
trade,T0005822,mule_transfer,1
listing,L0004545,mule_transfer,1
account,P00453,mule_transfer,1
trade,T0005823,mule_transfer,1
listing,L0004546,mule_transfer,1
account,P00188,mule_transfer,1
trade,T0005824,mule_transfer,1
listing,L0004547,mule_transfer,1
account,P00323,mule_transfer,1
trade,T0005825,mule_transfer,1
listing,L0004548,mule_transfer,1
account,P00563,mule_transfer,1
trade,T0005826,mule_transfer,1
listing,L0004549,mule_transfer,1
account,P00175,mule_transfer,1
trade,T0005827,mule_transfer,1
listing,L0004550,mule_transfer,1
account,P00186,mule_transfer,1
trade,T0005828,mule_transfer,1
listing,L0004551,mule_transfer,1
account,P00230,mule_transfer,1
trade,T0005829,mule_transfer,1
listing,L0004552,mule_transfer,1
account,P00207,mule_transfer,1
trade,T0005830,mule_transfer,1
listing,L0004553,mule_transfer,1
account,P00210,mule_transfer,1
trade,T0005831,collusive_flip,1
listing,L0004554,collusive_flip,1
trade,T0005832,collusive_flip,1
listing,L0004555,collusive_flip,1
trade,T0005833,collusive_flip,1
listing,L0004556,collusive_flip,1
trade,T0005834,collusive_flip,1
listing,L0004557,collusive_flip,1
trade,T0005835,collusive_flip,1
listing,L0004558,collusive_flip,1
trade,T0005836,collusive_flip,1
listing,L0004559,collusive_flip,1
trade,T0005837,collusive_flip,1
listing,L0004560,collusive_flip,1
trade,T0005838,collusive_flip,1
listing,L0004561,collusive_flip,1
trade,T0005839,collusive_flip,1
listing,L0004562,collusive_flip,1
trade,T0005840,collusive_flip,1
listing,L0004563,collusive_flip,1
trade,T0005841,collusive_flip,1
listing,L0004564,collusive_flip,1
trade,T0005842,collusive_flip,1
