item_id,rarity,base_value,drop_rate
I0000,common,44.79,0.056829724028345345
I0001,common,37.29,0.027490838682948576
I0002,common,56.17,0.07951223196424677
I0003,common,65.92,0.13384412601738832
I0004,rare,365.08,0.005028489002036509
I0005,rare,419.81,0.018690019890396852
I0006,common,54.74,0.09695226605717916
I0007,rare,538.31,0.015268677771782006
I0008,common,43.56,0.07603773649851495
I0009,common,52.89,0.09199943508572496
I0010,rare,351.89,0.01059605422845127
I0011,rare,519.11,0.008732426600869815
I0012,common,42.04,0.14567773606146026
I0013,common,37.89,0.116185699839163
I0014,rare,313.18,0.01973951023482472
I0015,common,61.79,0.09324817150009855
I0016,common,35.16,0.13295711463516124
I0017,common,59.85,0.11528497479395132
I0018,common,69.12,0.12707455494051986
I0019,rare,229.01,0.01255489475035066
I0020,common,52.1,0.06387891898427309
I0021,rare,433.7,0.014115396845508069
I0022,common,58.72,0.08849697885685182
I0023,common,38.46,0.09989991825198391
I0024,common,44.08,0.12230520022713735
I0025,rare,328.17,0.01579019576034851
I0026,common,52.74,0.09157784828607336
I0027,common,45.49,0.06057961223561783
I0028,common,54.81,0.09343287534443141
I0029,common,62.06,0.1268514808647714
I0030,common,56.07,0.12285082850855836
I0031,common,40.14,0.06959446800131538
I0032,common,31.1,0.08060050884259909
I0033,rare,441.82,0.01828958503501269
I0034,common,44.89,0.12449248748409292
I0035,legendary,2957.03,0.002969901570540239
I0036,common,47.21,0.03911871924734591
I0037,common,51.97,0.10859091515435441
I0038,rare,519.18,0.013879630635089747
I0039,common,56.85,0.04719576041665211
