listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00005,EU,I0034,1,41.64,2025-01-01 14:00:00
L0000026,2025-01-01 00:00:00,P00369,EU,I0006,2,38.7,2025-01-01 13:00:00
L0000027,2025-01-01 00:00:00,P00377,NA,I0028,2,66.65,2025-01-01 16:00:00
L0000028,2025-01-01 00:00:00,P00378,NA,I0003,1,56.87,2025-01-02 11:00:00
L0000029,2025-01-01 00:00:00,P00397,EU,I0015,1,65.98,2025-01-01 19:00:00
L0000030,2025-01-01 00:00:00,P00403,NA,I0008,2,46.92,2025-01-01 23:00:00
L0000031,2025-01-01 00:00:00,P00407,NA,I0034,2,54.61,2025-01-01 16:00:00
L0000032,2025-01-01 00:00:00,P00420,NA,I0028,2,57.39,2025-01-01 23:00:00
L0000034,2025-01-01 00:00:00,P00443,EU,I0036,2,42.58,2025-01-01 21:00:00
L0000035,2025-01-01 00:00:00,P00447,ASIA,I0012,4,39.98,2025-01-01 23:00:00
L0000025,2025-01-01 00:00:00,P00352,NA,I0029,1,57.16,2025-01-01 19:00:00
L0000024,2025-01-01 00:00:00,P00350,NA,I0016,3,39.88,2025-01-01 14:00:00
L0000039,2025-01-01 00:00:00,P00490,EU,I0024,3,51.12,2025-01-01 22:00:00
L0000040,2025-01-01 00:00:00,P00493,NA,I0032,2,31.31,2025-01-02 03:00:00
L0000041,2025-01-01 00:00:00,P00503,NA,I0015,2,64.21,2025-01-02 06:00:00
L0000042,2025-01-01 00:00:00,P00507,EU,I0002,2,58.0,2025-01-02 04:00:00
L0000043,2025-01-01 00:00:00,P00526,NA,I0022,1,56.63,2025-01-01 21:00:00
L0000044,2025-01-01 00:00:00,P00554,NA,I0016,2,30.68,2025-01-02 10:00:00
L0000045,2025-01-01 00:00:00,P00564,NA,I0027,1,45.16,2025-01-01 21:00:00
L0000046,2025-01-01 00:00:00,P00575,EU,I0024,1,36.86,2025-01-02 07:00:00
L0000037,2025-01-01 00:00:00,P00483,ASIA,I0019,1,205.16,2025-01-01 16:00:00
L0000036,2025-01-01 00:00:00,P00454,EU,I0015,1,65.71,2025-01-01 19:00:00
L0000022,2025-01-01 00:00:00,P00318,NA,I0016,1,34.23,2025-01-02 02:00:00
L0000038,2025-01-01 00:00:00,P00489,NA,I0015,1,62.27,2025-01-01 17:00:00
L0000013,2025-01-01 00:00:00,P00171,ASIA,I0034,2,49.72,2025-01-01 14:00:00
L0000023,2025-01-01 00:00:00,P00320,NA,I0012,3,34.46,2025-01-01 20:00:00
L0000004,2025-01-01 00:00:00,P00073,EU,I0030,1,56.74,2025-01-01 14:00:00
L0000005,2025-01-01 00:00:00,P00087,NA,I0024,2,47.26,2025-01-01 19:00:00
L0000006,2025-01-01 00:00:00,P00090,NA,I0036,1,61.0,2025-01-02 11:00:00
L0000007,2025-01-01 00:00:00,P00101,NA,I0017,1,60.13,2025-01-01 17:00:00
L0000008,2025-01-01 00:00:00,P00113,EU,I0006,1,50.36,2025-01-02 01:00:00
L0000009,2025-01-01 00:00:00,P00118,NA,I0003,2,66.76,2025-01-02 03:00:00
L0000010,2025-01-01 00:00:00,P00138,EU,I0017,1,75.86,2025-01-02 08:00:00
L0000011,2025-01-01 00:00:00,P00145,ASIA,I0034,2,41.29,2025-01-02 09:00:00
L0000033,2025-01-01 00:00:00,P00427,NA,I0016,1,36.35,2025-01-01 16:00:00
L0000002,2025-01-01 00:00:00,P00022,EU,I0030,1,36.75,2025-01-01 14:00:00
L0000003,2025-01-01 00:00:00,P00033,EU,I0009,2,48.38,2025-01-01 13:00:00
L0000012,2025-01-01 00:00:00,P00170,EU,I0013,1,47.77,2025-01-01 15:00:00
L0000020,2025-01-01 00:00:00,P00307,EU,I0039,2,58.74,2025-01-01 20:00:00
L0000019,2025-01-01 00:00:00,P00272,EU,I0024,1,50.06,2025-01-01 15:00:00
L0000018,2025-01-01 00:00:00,P00256,NA,I0017,1,58.6,2025-01-02 10:00:00
L0000021,2025-01-01 00:00:00,P00314,NA,I0017,2,54.86,2025-01-01 13:00:00
L0000016,2025-01-01 00:00:00,P00211,EU,I0012,2,45.73,2025-01-01 22:00:00
L0000015,2025-01-01 00:00:00,P00190,EU,I0011,1,500.14,2025-01-01 20:00:00
L0000014,2025-01-01 00:00:00,P00188,EU,I0017,1,61.86,2025-01-01 16:00:00
L0000017,2025-01-01 00:00:00,P00239,NA,I0014,1,324.55,2025-01-02 07:00:00
