player_id,region,playstyle,account_age_days
P00000,EU,casual,304
P00001,EU,trader,693
P00002,ASIA,casual,835
P00003,EU,raider,571
P00004,ASIA,casual,628
P00005,EU,casual,1015
P00006,EU,casual,922
P00007,ASIA,casual,571
P00008,EU,casual,477
P00009,EU,casual,3
P00010,EU,raider,163
P00011,EU,farmer,649
P00012,ASIA,casual,96
P00013,NA,casual,153
P00014,ASIA,casual,453
P00015,NA,casual,191
P00016,EU,farmer,850
P00017,EU,farmer,34
P00018,ASIA,casual,21
P00019,EU,farmer,193
P00020,EU,farmer,449
P00021,NA,farmer,530
P00022,EU,raider,935
P00023,NA,trader,65
P00024,EU,casual,281
P00025,NA,casual,246
P00026,EU,raider,169
P00027,NA,casual,643
P00028,EU,raider,966
P00029,NA,casual,66
P00030,NA,casual,201
P00031,NA,casual,558
P00032,NA,farmer,1025
P00033,EU,trader,52
P00034,NA,casual,622
P00035,ASIA,trader,42
P00036,ASIA,casual,284
P00037,NA,casual,146
P00038,ASIA,casual,373
P00039,ASIA,farmer,287
P00040,NA,casual,276
P00041,EU,casual,927
P00042,NA,farmer,579
P00043,EU,raider,68
P00044,NA,casual,967
P00045,NA,casual,275
P00046,EU,casual,311
P00047,EU,casual,723
P00048,EU,casual,906
P00049,EU,trader,403
P00050,EU,casual,415
P00051,EU,casual,425
P00052,NA,farmer,607
P00053,EU,raider,505
P00054,EU,raider,782
P00055,EU,casual,676
P00056,ASIA,trader,855
P00057,NA,casual,734
P00058,ASIA,raider,405
P00059,NA,casual,77
P00060,EU,raider,169
P00061,EU,farmer,594
P00062,EU,casual,338
P00063,ASIA,casual,391
P00064,ASIA,raider,906
P00065,NA,casual,751
P00066,EU,trader,93
P00067,NA,trader,544
P00068,NA,trader,688
P00069,NA,casual,1027
P00070,NA,casual,868
P00071,EU,casual,945
P00072,EU,trader,359
P00073,EU,raider,662
P00074,NA,casual,794
P00075,EU,casual,1016
P00076,ASIA,casual,835
P00077,ASIA,casual,481
P00078,EU,farmer,674
P00079,EU,raider,294
P00080,EU,casual,299
P00081,NA,trader,922
P00082,EU,raider,665
P00083,EU,casual,823
P00084,NA,casual,705
P00085,NA,casual,518
P00086,ASIA,casual,398
P00087,NA,raider,804
P00088,NA,trader,767
P00089,ASIA,raider,96
P00090,NA,farmer,75
P00091,NA,casual,905
P00092,EU,casual,409
P00093,ASIA,casual,999
P00094,NA,casual,384
P00095,NA,casual,717
P00096,EU,raider,331
P00097,NA,casual,1051
P00098,EU,raider,862
P00099,EU,farmer,679
P00100,NA,casual,557
P00101,NA,casual,722
P00102,EU,casual,211
P00103,EU,casual,351
P00104,EU,trader,372
P00105,ASIA,raider,580
P00106,ASIA,trader,792
P00107,EU,raider,698
P00108,EU,casual,287
P00109,ASIA,trader,68
P00110,NA,casual,374
P00111,NA,casual,603
P00112,EU,raider,848
P00113,EU,casual,618
P00114,EU,casual,692
P00115,ASIA,casual,442
P00116,EU,casual,228
P00117,NA,raider,360
P00118,NA,casual,480
P00119,EU,raider,546
P00120,NA,casual,169
P00121,NA,farmer,517
P00122,NA,raider,62
P00123,ASIA,casual,527
P00124,ASIA,farmer,146
P00125,ASIA,casual,183
P00126,NA,casual,28
P00127,EU,casual,597
P00128,EU,casual,47
P00129,ASIA,casual,507
P00130,EU,casual,511
P00131,EU,casual,142
P00132,ASIA,casual,391
P00133,EU,trader,876
P00134,EU,casual,360
P00135,NA,casual,160
P00136,NA,casual,579
P00137,NA,farmer,165
P00138,EU,casual,846
P00139,EU,farmer,658
P00140,NA,trader,823
P00141,EU,trader,845
P00142,EU,farmer,319
P00143,NA,casual,956
P00144,ASIA,casual,588
P00145,ASIA,casual,216
P00146,EU,casual,915
P00147,EU,farmer,1017
P00148,EU,casual,426
P00149,EU,casual,542
P00150,NA,trader,524
P00151,NA,casual,883
P00152,NA,casual,659
P00153,NA,farmer,532
P00154,ASIA,casual,364
P00155,EU,casual,336
P00156,EU,raider,346
P00157,EU,trader,956
P00158,EU,trader,166
P00159,NA,raider,303
P00160,NA,casual,16
P00161,NA,casual,388
P00162,ASIA,farmer,416
P00163,NA,casual,414
P00164,EU,casual,993
P00165,EU,casual,566
P00166,EU,casual,313
P00167,NA,casual,115
P00168,EU,raider,752
P00169,ASIA,casual,942
P00170,EU,farmer,380
P00171,ASIA,casual,1019
P00172,NA,farmer,43
P00173,EU,raider,275
P00174,NA,raider,372
P00175,ASIA,casual,380
P00176,NA,raider,650
P00177,NA,casual,502
P00178,NA,trader,671
P00179,EU,raider,941
P00180,EU,casual,1086
P00181,EU,casual,37
P00182,EU,casual,192
P00183,EU,casual,883
P00184,EU,casual,1011
P00185,EU,casual,266
P00186,ASIA,trader,484
P00187,EU,trader,811
P00188,EU,raider,266
P00189,EU,casual,1079
P00190,EU,casual,996
P00191,EU,trader,372
P00192,NA,casual,132
P00193,NA,trader,244
P00194,NA,casual,227
P00195,EU,farmer,711
P00196,NA,raider,461
P00197,NA,raider,77
P00198,NA,casual,1016
P00199,NA,trader,454
P00200,EU,raider,517
P00201,NA,raider,991
P00202,NA,casual,672
P00203,EU,raider,707
P00204,NA,casual,334
P00205,ASIA,casual,434
P00206,ASIA,raider,980
P00207,EU,farmer,399
P00208,NA,raider,913
P00209,NA,casual,1039
P00210,ASIA,raider,221
P00211,EU,farmer,152
P00212,EU,raider,1026
P00213,EU,casual,946
P00214,ASIA,casual,894
P00215,NA,casual,783
P00216,EU,casual,111
P00217,EU,casual,441
P00218,NA,casual,775
P00219,EU,farmer,1000
P00220,EU,raider,864
P00221,NA,casual,310
P00222,ASIA,casual,46
P00223,EU,casual,294
P00224,EU,raider,79
P00225,EU,farmer,333
P00226,ASIA,casual,830
P00227,NA,casual,820
P00228,NA,casual,926
P00229,EU,farmer,35
P00230,EU,raider,693
P00231,ASIA,raider,425
P00232,EU,casual,410
P00233,NA,casual,651
P00234,ASIA,casual,62
P00235,NA,trader,349
P00236,NA,raider,23
P00237,NA,casual,187
P00238,EU,raider,935
P00239,NA,casual,121
P00240,EU,casual,547
P00241,ASIA,raider,335
P00242,ASIA,farmer,25
P00243,ASIA,casual,244
P00244,EU,casual,572
P00245,EU,trader,859
P00246,EU,farmer,146
P00247,ASIA,trader,89
P00248,EU,raider,712
P00249,NA,farmer,658
P00250,EU,casual,451
P00251,EU,farmer,249
P00252,EU,raider,85
P00253,EU,raider,1080
P00254,NA,casual,40
P00255,NA,casual,399
P00256,NA,farmer,542
P00257,ASIA,casual,768
P00258,NA,raider,536
P00259,ASIA,casual,419
P00260,EU,trader,752
P00261,NA,farmer,371
P00262,ASIA,casual,28
P00263,EU,casual,1088
P00264,NA,farmer,33
P00265,EU,raider,219
P00266,NA,trader,100
P00267,EU,casual,99
P00268,NA,casual,62
P00269,NA,raider,524
P00270,NA,casual,400
P00271,NA,casual,263
P00272,EU,casual,633
P00273,NA,casual,191
P00274,NA,raider,516
P00275,EU,casual,832
P00276,NA,casual,969
P00277,EU,casual,317
P00278,NA,casual,169
P00279,ASIA,casual,322
P00280,EU,casual,1056
P00281,NA,casual,1052
P00282,EU,raider,798
P00283,EU,casual,480
P00284,NA,farmer,698
P00285,ASIA,casual,82
P00286,NA,casual,234
P00287,NA,trader,218
P00288,NA,casual,354
P00289,EU,casual,388
P00290,NA,casual,1023
P00291,ASIA,casual,355
P00292,EU,farmer,777
P00293,EU,casual,870
P00294,EU,farmer,16
P00295,NA,trader,992
P00296,NA,raider,905
P00297,NA,casual,174
P00298,NA,raider,493
P00299,EU,farmer,894
P00300,NA,farmer,379
P00301,EU,casual,897
P00302,EU,trader,973
P00303,NA,casual,969
P00304,EU,casual,823
P00305,EU,casual,479
P00306,EU,trader,607
P00307,EU,casual,102
P00308,NA,farmer,450
P00309,ASIA,raider,385
P00310,EU,casual,747
P00311,EU,casual,166
P00312,NA,casual,376
P00313,NA,raider,827
P00314,NA,casual,642
P00315,NA,farmer,510
P00316,EU,farmer,250
P00317,EU,raider,163
P00318,NA,raider,896
P00319,EU,farmer,175
P00320,NA,raider,426
P00321,ASIA,casual,832
P00322,NA,casual,1081
P00323,EU,raider,1078
P00324,ASIA,farmer,87
P00325,EU,casual,145
P00326,EU,casual,701
P00327,EU,raider,689
P00328,NA,casual,1038
P00329,NA,casual,560
P00330,ASIA,farmer,104
P00331,ASIA,trader,270
P00332,ASIA,raider,1059
P00333,EU,casual,282
P00334,EU,casual,143
P00335,ASIA,casual,109
P00336,ASIA,farmer,850
P00337,EU,farmer,490
P00338,NA,raider,347
P00339,NA,casual,417
P00340,NA,casual,76
P00341,EU,trader,242
P00342,NA,raider,404
P00343,EU,casual,787
P00344,EU,casual,818
P00345,EU,farmer,821
P00346,EU,raider,77
P00347,EU,trader,313
P00348,ASIA,farmer,987
P00349,ASIA,casual,972
P00350,NA,raider,867
P00351,EU,raider,39
P00352,NA,raider,511
P00353,NA,casual,722
P00354,NA,casual,813
P00355,ASIA,casual,621
P00356,ASIA,casual,210
P00357,EU,raider,837
P00358,NA,casual,811
P00359,EU,raider,415
P00360,ASIA,casual,66
P00361,ASIA,trader,652
P00362,NA,raider,971
P00363,NA,farmer,188
P00364,ASIA,casual,864
P00365,EU,casual,724
P00366,EU,raider,1082
P00367,EU,raider,448
P00368,EU,farmer,1028
P00369,EU,casual,205
P00370,ASIA,trader,627
P00371,EU,casual,429
P00372,EU,raider,612
P00373,ASIA,casual,854
P00374,EU,casual,1039
P00375,NA,farmer,458
P00376,NA,farmer,167
P00377,NA,casual,743
P00378,NA,farmer,799
P00379,NA,casual,845
P00380,NA,casual,800
P00381,ASIA,farmer,459
P00382,EU,casual,825
P00383,NA,casual,631
P00384,ASIA,raider,762
P00385,NA,casual,329
P00386,EU,farmer,91
P00387,EU,casual,339
P00388,ASIA,trader,726
