trade_id,ts,buyer_id,seller_id,item_id,qty,price,listing_id
T0000001,2025-01-01 00:00:00,P00119,P00507,I0002,1,58.0,L0000042
T0000026,2025-01-01 00:00:00,P00310,P00033,I0009,1,48.38,L0000003
T0000027,2025-01-01 00:00:00,P00288,P00575,I0024,1,36.86,L0000046
T0000028,2025-01-01 00:00:00,P00009,P00564,I0027,1,45.16,L0000045
T0000029,2025-01-01 00:00:00,P00048,P00526,I0022,1,56.63,L0000043
T0000030,2025-01-01 00:00:00,P00335,P00575,I0024,1,36.86,L0000046
T0000031,2025-01-01 00:00:00,P00485,P00352,I0029,1,57.16,L0000025
T0000032,2025-01-01 00:00:00,P00064,P00320,I0012,1,34.46,L0000023
T0000040,2025-01-01 00:00:00,P00590,P00352,I0029,1,57.16,L0000025
T0000025,2025-01-01 00:00:00,P00463,P00307,I0039,1,58.74,L0000020
T0000033,2025-01-01 00:00:00,P00013,P00369,I0006,1,38.7,L0000026
T0000036,2025-01-01 00:00:00,P00047,P00369,I0006,1,38.7,L0000026
T0000037,2025-01-01 00:00:00,P00506,P00507,I0002,1,58.0,L0000042
T0000038,2025-01-01 00:00:00,P00509,P00307,I0039,1,58.74,L0000020
T0000039,2025-01-01 00:00:00,P00218,P00554,I0016,1,30.68,L0000044
T0000041,2025-01-01 00:00:00,P00154,P00145,I0034,1,41.29,L0000011
T0000042,2025-01-01 00:00:00,P00268,P00554,I0016,1,30.68,L0000044
T0000043,2025-01-01 00:00:00,P00398,P00526,I0022,1,56.63,L0000043
T0000034,2025-01-01 00:00:00,P00383,P00493,I0032,1,31.31,L0000040
T0000024,2025-01-01 00:00:00,P00126,P00575,I0024,1,36.86,L0000046
T0000023,2025-01-01 00:00:00,P00145,P00420,I0028,1,57.39,L0000032
T0000035,2025-01-01 00:00:00,P00423,P00239,I0014,1,324.55,L0000017
T0000021,2025-01-01 00:00:00,P00453,P00489,I0015,1,62.27,L0000038
T0000005,2025-01-01 00:00:00,P00326,P00554,I0016,1,30.68,L0000044
T0000006,2025-01-01 00:00:00,P00038,P00443,I0036,1,42.58,L0000034
T0000007,2025-01-01 00:00:00,P00167,P00145,I0034,1,41.29,L0000011
T0000008,2025-01-01 00:00:00,P00403,P00564,I0027,1,45.16,L0000045
T0000009,2025-01-01 00:00:00,P00102,P00507,I0002,1,58.0,L0000042
T0000010,2025-01-01 00:00:00,P00410,P00575,I0024,1,36.86,L0000046
T0000004,2025-01-01 00:00:00,P00186,P00493,I0032,1,31.31,L0000040
T0000002,2025-01-01 00:00:00,P00270,P00403,I0008,1,46.92,L0000030
T0000003,2025-01-01 00:00:00,P00433,P00420,I0028,1,57.39,L0000032
T0000012,2025-01-01 00:00:00,P00152,P00443,I0036,1,42.58,L0000034
T0000017,2025-01-01 00:00:00,P00162,P00420,I0028,1,57.39,L0000032
T0000018,2025-01-01 00:00:00,P00150,P00369,I0006,1,38.7,L0000026
T0000015,2025-01-01 00:00:00,P00409,P00575,I0024,1,36.86,L0000046
T0000014,2025-01-01 00:00:00,P00205,P00307,I0039,1,58.74,L0000020
T0000013,2025-01-01 00:00:00,P00567,P00554,I0016,1,30.68,L0000044
T0000016,2025-01-01 00:00:00,P00443,P00489,I0015,1,62.27,L0000038
T0000020,2025-01-01 00:00:00,P00113,P00526,I0022,1,56.63,L0000043
T0000011,2025-01-01 00:00:00,P00405,P00170,I0013,1,47.77,L0000012
T0000019,2025-01-01 00:00:00,P00006,P00420,I0028,1,57.39,L0000032
T0000022,2025-01-01 00:00:00,P00166,P00443,I0036,1,42.58,L0000034
T0005715,2025-01-01 00:37:00,P00224,P00585,I0033,1,925.72,L0004542
T0005714,2025-01-01 00:37:00,P00585,P00474,I0033,1,925.72,L0004541
T0005723,2025-01-01 00:38:00,P00411,P00557,I0037,1,84.48,L0004550
T0005707,2025-01-01 00:44:00,P00133,P00352,I0028,1,101.6,L0004534
T0005706,2025-01-01 00:46:00,P00352,P00247,I0028,1,101.6,L0004533
T0005717,2025-01-01 00:55:00,P00585,P00474,I0033,1,925.72,L0004544
T0005749,2025-01-01 00:58:00,P00532,P00156,I0000,1,77.29,L0004576
T0005741,2025-01-01 00:59:00,P00191,P00342,I0023,1,71.15,L0004568
T0000089,2025-01-01 01:00:00,P00071,P00575,I0024,1,36.86,L0000046
T0000113,2025-01-01 01:00:00,P00488,P00170,I0013,1,47.77,L0000012
T0000114,2025-01-01 01:00:00,P00563,P00443,I0036,1,42.58,L0000034
T0000087,2025-01-01 01:00:00,P00324,P00055,I0002,1,54.75,L0000050
T0000085,2025-01-01 01:00:00,P00476,P00239,I0014,1,324.55,L0000017
T0000088,2025-01-01 01:00:00,P00054,P00519,I0009,1,35.75,L0000084
T0000054,2025-01-01 01:00:00,P00293,P00107,I0039,1,53.54,L0000054
T0000097,2025-01-01 01:00:00,P00363,P00369,I0006,1,38.7,L0000026
T0000091,2025-01-01 01:00:00,P00274,P00107,I0039,1,53.54,L0000054
T0000083,2025-01-01 01:00:00,P00146,P00145,I0023,1,52.2,L0000055
T0000082,2025-01-01 01:00:00,P00010,P00345,I0020,1,59.27,L0000071
T0000100,2025-01-01 01:00:00,P00080,P00186,I0012,1,31.8,L0000057
T0000098,2025-01-01 01:00:00,P00244,P00487,I0026,1,50.15,L0000080
T0000108,2025-01-01 01:00:00,P00237,P00170,I0013,1,47.77,L0000012
T0000086,2025-01-01 01:00:00,P00440,P00352,I0029,1,57.16,L0000025
T0000111,2025-01-01 01:00:00,P00511,P00186,I0012,1,31.8,L0000057
T0000110,2025-01-01 01:00:00,P00178,P00145,I0023,1,52.2,L0000055
T0000057,2025-01-01 01:00:00,P00507,P00339,I0007,1,584.07,L0000069
T0000081,2025-01-01 01:00:00,P00295,P00378,I0003,1,56.87,L0000028
T0000058,2025-01-01 01:00:00,P00277,P00345,I0020,1,59.27,L0000071
T0000056,2025-01-01 01:00:00,P00149,P00222,I0037,1,41.74,L0000060
T0000109,2025-01-01 01:00:00,P00103,P00290,I0000,1,39.55,L0000066
T0000107,2025-01-01 01:00:00,P00268,P00339,I0007,1,584.07,L0000069
T0000106,2025-01-01 01:00:00,P00549,P00443,I0036,1,42.58,L0000034
T0000105,2025-01-01 01:00:00,P00068,P00239,I0014,1,324.55,L0000017
T0000104,2025-01-01 01:00:00,P00107,P00022,I0030,1,36.75,L0000002
T0000101,2025-01-01 01:00:00,P00171,P00354,I0015,1,52.98,L0000072
T0000103,2025-01-01 01:00:00,P00450,P00190,I0011,1,500.14,L0000015
T0000102,2025-01-01 01:00:00,P00524,P00345,I0020,1,59.27,L0000071
T0000078,2025-01-01 01:00:00,P00018,P00443,I0036,1,42.58,L0000034
T0000099,2025-01-01 01:00:00,P00356,P00162,I0033,1,497.32,L0000056
T0000112,2025-01-01 01:00:00,P00252,P00519,I0009,1,35.75,L0000084
T0000080,2025-01-01 01:00:00,P00436,P00378,I0003,1,56.87,L0000028
T0000072,2025-01-01 01:00:00,P00093,P00239,I0014,1,324.55,L0000017
T0000115,2025-01-01 01:00:00,P00036,P00345,I0020,1,59.27,L0000071
T0000084,2025-01-01 01:00:00,P00304,P00290,I0000,1,39.55,L0000066
T0000076,2025-01-01 01:00:00,P00427,P00563,I0016,1,30.54,L0000086
T0000075,2025-01-01 01:00:00,P00381,P00022,I0030,1,36.75,L0000002
T0000045,2025-01-01 01:00:00,P00047,P00493,I0032,1,31.31,L0000040
T0000051,2025-01-01 01:00:00,P00525,P00290,I0000,1,39.55,L0000066
T0000050,2025-01-01 01:00:00,P00059,P00354,I0015,1,52.98,L0000072
T0000049,2025-01-01 01:00:00,P00142,P00526,I0022,1,56.63,L0000043
T0000079,2025-01-01 01:00:00,P00188,P00420,I0028,1,57.39,L0000032
T0000077,2025-01-01 01:00:00,P00493,P00563,I0016,1,30.54,L0000086
T0000046,2025-01-01 01:00:00,P00301,P00426,I0008,1,44.01,L0000076
T0000044,2025-01-01 01:00:00,P00466,P00564,I0027,1,45.16,L0000045
T0000059,2025-01-01 01:00:00,P00034,P00162,I0033,1,497.32,L0000056
T0000060,2025-01-01 01:00:00,P00266,P00345,I0020,1,59.27,L0000071
T0000047,2025-01-01 01:00:00,P00242,P00586,I0018,1,63.39,L0000087
T0000062,2025-01-01 01:00:00,P00514,P00526,I0022,1,56.63,L0000043
T0000061,2025-01-01 01:00:00,P00318,P00519,I0009,1,35.75,L0000084
T0000092,2025-01-01 01:00:00,P00030,P00186,I0012,1,31.8,L0000057
T0000073,2025-01-01 01:00:00,P00307,P00378,I0003,1,56.87,L0000028
T0000052,2025-01-01 01:00:00,P00386,P00586,I0018,1,63.39,L0000087
T0000048,2025-01-01 01:00:00,P00044,P00314,I0017,1,54.86,L0000021
T0000095,2025-01-01 01:00:00,P00595,P00222,I0037,1,41.74,L0000060
T0000053,2025-01-01 01:00:00,P00197,P00369,I0006,1,38.7,L0000026
T0000096,2025-01-01 01:00:00,P00333,P00186,I0012,1,31.8,L0000057
T0000071,2025-01-01 01:00:00,P00516,P00354,I0015,1,52.98,L0000072
T0000070,2025-01-01 01:00:00,P00316,P00483,I0019,1,205.16,L0000037
T0000068,2025-01-01 01:00:00,P00498,P00190,I0011,1,500.14,L0000015
T0000067,2025-01-01 01:00:00,P00419,P00145,I0023,1,52.2,L0000055
T0000066,2025-01-01 01:00:00,P00332,P00586,I0018,1,63.39,L0000087
T0000055,2025-01-01 01:00:00,P00052,P00345,I0020,1,59.27,L0000071
T0000064,2025-01-01 01:00:00,P00156,P00586,I0018,1,63.39,L0000087
T0000069,2025-01-01 01:00:00,P00553,P00487,I0026,1,50.15,L0000080
T0000065,2025-01-01 01:00:00,P00338,P00487,I0026,1,50.15,L0000080
T0000074,2025-01-01 01:00:00,P00538,P00352,I0029,1,57.16,L0000025
T0000063,2025-01-01 01:00:00,P00343,P00170,I0013,1,47.77,L0000012
T0000094,2025-01-01 01:00:00,P00350,P00314,I0017,1,54.86,L0000021
T0000093,2025-01-01 01:00:00,P00344,P00222,I0037,1,41.74,L0000060
T0000090,2025-01-01 01:00:00,P00016,P00426,I0008,1,44.01,L0000076
T0005750,2025-01-01 01:01:00,P00003,P00532,I0000,1,77.29,L0004577
T0005752,2025-01-01 01:04:00,P00532,P00156,I0000,1,77.29,L0004579
T0005722,2025-01-01 01:04:00,P00557,P00064,I0037,1,84.48,L0004549
T0005710,2025-01-01 01:05:00,P00133,P00352,I0028,1,101.6,L0004537
T0005737,2025-01-01 01:06:00,P00119,P00117,I0030,1,94.47,L0004564
T0005730,2025-01-01 01:06:00,P00117,P00236,I0030,1,94.47,L0004557
T0005746,2025-01-01 01:07:00,P00532,P00156,I0000,1,77.29,L0004573
T0005732,2025-01-01 01:07:00,P00236,P00119,I0030,1,94.47,L0004559
T0005738,2025-01-01 01:09:00,P00191,P00342,I0023,1,71.15,L0004565
T0005748,2025-01-01 01:09:00,P00156,P00003,I0000,1,77.29,L0004575
T0005751,2025-01-01 01:10:00,P00156,P00003,I0000,1,77.29,L0004578
T0005731,2025-01-01 01:10:00,P00119,P00117,I0030,1,94.47,L0004558
T0005728,2025-01-01 01:13:00,P00557,P00064,I0037,1,84.48,L0004555
T0005734,2025-01-01 01:15:00,P00119,P00117,I0030,1,94.47,L0004561
T0005725,2025-01-01 01:18:00,P00557,P00064,I0037,1,84.48,L0004552
T0005712,2025-01-01 01:19:00,P00352,P00247,I0028,1,101.6,L0004539
T0005740,2025-01-01 01:22:00,P00342,P00023,I0023,1,71.15,L0004567
T0005743,2025-01-01 01:23:00,P00342,P00023,I0023,1,71.15,L0004570
T0005744,2025-01-01 01:26:00,P00191,P00342,I0023,1,71.15,L0004571
T0005747,2025-01-01 01:26:00,P00003,P00532,I0000,1,77.29,L0004574
T0005721,2025-01-01 01:28:00,P00224,P00585,I0033,1,925.72,L0004548
T0005753,2025-01-01 01:30:00,P00003,P00532,I0000,1,77.29,L0004580
T0005739,2025-01-01 01:31:00,P00023,P00191,I0023,1,71.15,L0004566
T0005724,2025-01-01 01:31:00,P00064,P00411,I0037,1,84.48,L0004551
T0005727,2025-01-01 01:31:00,P00064,P00411,I0037,1,84.48,L0004554
T0005735,2025-01-01 01:31:00,P00236,P00119,I0030,1,94.47,L0004562
T0005716,2025-01-01 01:32:00,P00474,P00224,I0033,1,925.72,L0004543
T0005718,2025-01-01 01:32:00,P00224,P00585,I0033,1,925.72,L0004545
T0005708,2025-01-01 01:33:00,P00247,P00133,I0028,1,101.6,L0004535
T0005742,2025-01-01 01:34:00,P00023,P00191,I0023,1,71.15,L0004569
T0005726,2025-01-01 01:36:00,P00411,P00557,I0037,1,84.48,L0004553
T0005719,2025-01-01 01:40:00,P00474,P00224,I0033,1,925.72,L0004546
T0005711,2025-01-01 01:41:00,P00247,P00133,I0028,1,101.6,L0004538
T0005733,2025-01-01 01:41:00,P00117,P00236,I0030,1,94.47,L0004560
T0005709,2025-01-01 01:41:00,P00352,P00247,I0028,1,101.6,L0004536
T0005729,2025-01-01 01:45:00,P00411,P00557,I0037,1,84.48,L0004556
T0005745,2025-01-01 01:49:00,P00023,P00191,I0023,1,71.15,L0004572
T0005713,2025-01-01 01:53:00,P00133,P00352,I0028,1,101.6,L0004540
T0005720,2025-01-01 01:59:00,P00585,P00474,I0033,1,925.72,L0004547
T0005736,2025-01-01 01:59:00,P00117,P00236,I0030,1,94.47,L0004563
T0000161,2025-01-01 02:00:00,P00233,P00141,I0013,1,39.52,L0000100
T0000160,2025-01-01 02:00:00,P00355,P00593,I0020,1,43.42,L0000132
T0000166,2025-01-01 02:00:00,P00234,P00354,I0015,1,52.98,L0000072
T0000158,2025-01-01 02:00:00,P00572,P00107,I0039,1,53.54,L0000054
T0000151,2025-01-01 02:00:00,P00586,P00222,I0037,1,41.74,L0000060
T0000146,2025-01-01 02:00:00,P00445,P00190,I0011,1,500.14,L0000015
T0000148,2025-01-01 02:00:00,P00232,P00339,I0007,1,584.07,L0000069
T0000125,2025-01-01 02:00:00,P00406,P00314,I0017,1,54.86,L0000021
T0000150,2025-01-01 02:00:00,P00228,P00141,I0013,1,39.52,L0000100
T0000152,2025-01-01 02:00:00,P00373,P00222,I0037,1,41.74,L0000060
T0000153,2025-01-01 02:00:00,P00433,P00378,I0003,1,56.87,L0000028
T0000147,2025-01-01 02:00:00,P00537,P00483,I0019,1,205.16,L0000037
T0000162,2025-01-01 02:00:00,P00414,P00141,I0013,1,39.52,L0000100
T0000139,2025-01-01 02:00:00,P00117,P00155,I0029,1,49.17,L0000103
T0000157,2025-01-01 02:00:00,P00462,P00339,I0007,1,584.07,L0000069
T0000126,2025-01-01 02:00:00,P00097,P00593,I0020,1,43.42,L0000132
T0000122,2025-01-01 02:00:00,P00112,P00526,I0022,1,56.63,L0000043
T0000121,2025-01-01 02:00:00,P00565,P00354,I0015,1,52.98,L0000072
T0000130,2025-01-01 02:00:00,P00513,P00378,I0003,1,56.87,L0000028
T0000129,2025-01-01 02:00:00,P00519,P00190,I0011,1,500.14,L0000015
T0000141,2025-01-01 02:00:00,P00561,P00113,I0002,1,44.78,L0000096
T0000140,2025-01-01 02:00:00,P00335,P00141,I0013,1,39.52,L0000100
T0000136,2025-01-01 02:00:00,P00498,P00354,I0015,1,52.98,L0000072
T0000137,2025-01-01 02:00:00,P00419,P00190,I0011,1,500.14,L0000015
T0000154,2025-01-01 02:00:00,P00038,P00369,I0006,1,38.7,L0000026
T0000128,2025-01-01 02:00:00,P00304,P00186,I0012,1,31.8,L0000057
T0000163,2025-01-01 02:00:00,P00035,P00557,I0008,1,39.22,L0000131
T0000155,2025-01-01 02:00:00,P00358,P00009,I0016,1,24.21,L0000088
T0000149,2025-01-01 02:00:00,P00284,P00076,I0027,1,40.9,L0000094
T0000164,2025-01-01 02:00:00,P00434,P00519,I0009,1,35.75,L0000084
T0000133,2025-01-01 02:00:00,P00380,P00222,I0037,1,41.74,L0000060
T0000131,2025-01-01 02:00:00,P00269,P00125,I0021,1,435.47,L0000097
T0000132,2025-01-01 02:00:00,P00053,P00022,I0030,1,36.75,L0000002
T0000134,2025-01-01 02:00:00,P00391,P00258,I0031,1,30.8,L0000109
T0000127,2025-01-01 02:00:00,P00323,P00575,I0024,1,36.86,L0000046
T0000138,2025-01-01 02:00:00,P00121,P00593,I0020,1,43.42,L0000132
