player_id,day,top_features,top_feature_abs_z,anomaly_score,is_suspicious
P00000,2025-01-01,b_price_z_mean;b_price_z_max;s_items,1.7;1.29;0.49,0.12518657586689874,0
P00000,2025-01-02,max_pair_as_buyer;b_trades;b_items,3.14;2.44;1.95,0.39942855263263743,0
P00000,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.49;0.47,0.003126303380863981,0
P00000,2025-01-04,buyer_hour_entropy;b_items;b_counterparties,1.44;1.14;1.14,0.0884674234078978,0
P00001,2025-01-01,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.49;0.47,0.009640985065404294,0
P00001,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.49;0.47,0.006960278555171036,0
P00001,2025-01-03,b_price_z_mean;b_price_z_max;s_items,1.6;0.8;0.49,0.11796291893289271,0
P00001,2025-01-04,max_pair_as_seller;seller_hour_entropy;s_trades,3.08;2.19;1.74,0.42181128275365604,0
P00002,2025-01-01,b_price_z_mean;b_price_z_max;s_items,1.1;0.97;0.49,0.0733321249691352,0
P00002,2025-01-02,s_items;max_pair_as_seller;b_items,1.51;1.3;1.17,0.3290655892416301,0
P00002,2025-01-03,s_items;max_pair_as_seller;seller_hour_entropy,0.49;0.47;0.42,0.012192220353969397,0
P00002,2025-01-04,max_pair_as_buyer;b_trades;buyer_hour_entropy,3.14;1.73;1.46,0.31333340519068903,0
P00003,2025-01-01,s_counterparties;s_trades;seller_hour_entropy,2.94;2.86;2.85,0.45551243028351535,0
P00003,2025-01-02,s_items;max_pair_as_seller;seller_hour_entropy,0.49;0.47;0.42,0.011870206620709652,0
P00003,2025-01-03,b_items;b_counterparties;b_trades,3.49;3.38;3.16,0.5615311779543887,0
P00004,2025-01-01,seller_hour_entropy;b_items;b_counterparties,1.95;1.95;1.87,0.45872697420064057,0
P00004,2025-01-02,max_pair_as_buyer;b_trades;buyer_hour_entropy,3.14;1.73;1.46,0.2806993610302278,0
P00004,2025-01-03,buyer_hour_entropy;b_items;b_counterparties,1.44;1.14;1.14,0.04798807828546307,0
P00004,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.17;1.12;1.06,0.07037457976179654,0
P00005,2025-01-01,b_price_z_max;b_price_z_mean;s_items,0.67;0.6;0.49,0.04541250989830141,0
P00005,2025-01-02,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.49;0.47,0.010070848831457412,0
P00005,2025-01-03,buyer_hour_entropy;b_items;b_counterparties,1.44;1.14;1.14,0.04798807828546307,0
P00005,2025-01-04,s_items;max_pair_as_seller;seller_hour_entropy,0.49;0.47;0.42,0.0103284678242053,0
P00006,2025-01-01,b_price_z_mean;s_items;max_pair_as_seller,0.52;0.49;0.47,0.0054940865377401445,0
P00006,2025-01-02,b_items;b_counterparties;b_trades,3.49;3.38;3.16,0.5337567887300716,0
P00006,2025-01-03,max_pair_as_buyer;buyer_hour_entropy;b_trades,3.14;1.06;1.02,0.26494709991689813,0
P00006,2025-01-04,s_items;b_price_z_max;max_pair_as_seller,0.49;0.49;0.47,0.004015453057412953,0
P00007,2025-01-01,s_items;max_pair_as_seller;b_price_z_mean,1.51;1.3;1.1,0.2917796118156014,0
P00007,2025-01-02,b_price_z_mean;s_items;b_price_z_max,0.83;0.49;0.49,0.01914456416631942,0
P00007,2025-01-03,buyer_hour_entropy;b_price_z_mean;b_items,1.44;1.37;1.14,0.14769095713759917,0
P00008,2025-01-01,b_price_z_mean;b_price_z_max;buyer_hour_entropy,0.96;0.91;0.54,0.07167954692595097,0
P00008,2025-01-03,seller_hour_entropy;s_counterparties;s_trades,2.55;2.51;2.44,0.40646357715762504,0
P00008,2025-01-04,b_price_z_max;buyer_hour_entropy;s_items,0.57;0.54;0.49,0.025894644393385405,0
P00009,2025-01-01,b_price_z_mean;buyer_hour_entropy;s_items,0.57;0.54;0.49,0.023005189761799234,0
P00009,2025-01-02,buyer_hour_entropy;s_items;b_price_z_max,0.54;0.49;0.49,0.009038359319713455,0
P00009,2025-01-04,b_price_z_mean;s_items;b_price_z_max,0.82;0.49;0.49,0.01914456416631942,0
P00010,2025-01-01,b_price_z_max;b_price_z_mean;s_items,0.82;0.75;0.49,0.038036571705452916,0
P00010,2025-01-03,b_items;b_counterparties;buyer_hour_entropy,1.17;1.12;1.06,0.058033864889964024,0
P00010,2025-01-04,b_items;b_counterparties;b_trades,2.72;2.62;2.44,0.36933527648322806,0
P00011,2025-01-01,s_price_z_mean;b_price_z_mean;s_price_z_max,9.91;9.88;9.08,0.8938611527343072,1
P00011,2025-01-03,buyer_hour_entropy;b_items;b_counterparties,1.44;1.14;1.14,0.07425191971840794,0
P00011,2025-01-04,s_items;buyer_hour_entropy;max_pair_as_seller,1.51;1.44;1.3,0.3124540083241261,0
P00012,2025-01-01,s_price_z_mean;s_price_z_max;s_items,6.3;5.82;1.51,0.5105709886750912,0
P00012,2025-01-02,b_price_z_max;s_items;b_price_z_mean,0.65;0.49;0.48,0.0158433019153483,0
P00012,2025-01-03,b_price_z_mean;buyer_hour_entropy;b_items,1.92;1.44;1.14,0.21447613988884562,0
P00012,2025-01-04,b_price_z_max;s_items;max_pair_as_seller,0.69;0.49;0.47,0.0434072249063332,0
P00013,2025-01-01,buyer_hour_entropy;s_items;b_price_z_max,0.54;0.49;0.49,0.007781920234342581,0
P00013,2025-01-02,seller_hour_entropy;s_items;s_counterparties,1.76;1.51;1.51,0.24500049191643075,0
P00013,2025-01-03,buyer_hour_entropy;s_items;max_pair_as_seller,0.54;0.49;0.47,0.023691794164651322,0
P00013,2025-01-04,b_items;b_counterparties;buyer_hour_entropy,1.17;1.12;1.06,0.08167096183954625,0
P00014,2025-01-01,b_price_z_mean;b_price_z_max;s_items,1.42;0.91;0.49,0.08223428123719767,0
P00014,2025-01-02,max_pair_as_buyer;s_price_z_mean;s_price_z_max,3.14;2.1;1.9,0.4427491870309819,0
P00014,2025-01-03,b_items;b_counterparties;b_trades,1.95;1.87;1.73,0.18066898911256388,0
P00014,2025-01-04,b_price_z_mean;s_items;max_pair_as_seller,0.75;0.49;0.47,0.04832503955248482,0
P00015,2025-01-01,b_price_z_mean;buyer_hour_entropy;s_items,2.82;0.54;0.49,0.10112229648399641,0
P00015,2025-01-03,b_price_z_max;b_price_z_mean;buyer_hour_entropy,1.02;0.71;0.54,0.06290490268210512,0
P00015,2025-01-04,seller_hour_entropy;s_trades;s_counterparties,3.33;3.14;3.08,0.5511326116251741,0
P00016,2025-01-01,buyer_hour_entropy;b_items;b_counterparties,1.44;1.14;1.14,0.04798807828546307,0
P00016,2025-01-02,b_price_z_mean;buyer_hour_entropy;s_items,0.56;0.54;0.49,0.01349667684499735,0
P00016,2025-01-04,max_pair_as_buyer;b_price_z_mean;b_price_z_max,3.14;0.75;0.68,0.26949079371670764,0
P00017,2025-01-01,s_items;seller_hour_entropy;max_pair_as_seller,1.51;1.43;1.3,0.32239785793796377,0
