entity_type,entity_id,risk,code,detail
trade,T0000510,0.85,UNDERPRICED,-5.4σ vs median
trade,T0000497,0.85,UNDERPRICED,-5.4σ vs median
trade,T0000538,0.85,UNDERPRICED,-40.0σ vs median
trade,T0000540,0.85,UNDERPRICED,-20.0σ vs median
trade,T0000545,0.85,UNDERPRICED,-13.3σ vs median
trade,T0000527,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000626,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000580,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000640,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000727,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000714,0.85,UNDERPRICED,-10.0σ vs median
trade,T0000944,0.85,UNDERPRICED,-10.0σ vs median
trade,T0005754,0.85,OVERPRICED,+6.2σ vs median
trade,T0005758,0.85,OVERPRICED,+4.7σ vs median
trade,T0005753,0.85,OVERPRICED,+4.5σ vs median
trade,T0005756,0.85,OVERPRICED,+3.6σ vs median
trade,T0005755,0.85,OVERPRICED,+3.1σ vs median
trade,T0005757,0.85,OVERPRICED,+4.9σ vs median
trade,T0005759,0.85,OVERPRICED,+5.3σ vs median
trade,T0005761,0.85,OVERPRICED,+4.0σ vs median
trade,T0005760,0.85,OVERPRICED,+3.9σ vs median
trade,T0002465,0.85,OVERPRICED,+6.7σ vs median
trade,T0002491,0.85,OVERPRICED,+6.7σ vs median
trade,T0002587,0.85,OVERPRICED,+6.7σ vs median
trade,T0002661,0.85,OVERPRICED,+6.7σ vs median
trade,T0002625,0.85,OVERPRICED,+6.7σ vs median
trade,T0002715,0.85,OVERPRICED,+6.7σ vs median
trade,T0002791,0.85,OVERPRICED,+6.7σ vs median
trade,T0002836,0.85,OVERPRICED,+5.9σ vs median
trade,T0002811,0.85,OVERPRICED,+5.9σ vs median
trade,T0002881,0.85,OVERPRICED,+5.9σ vs median
trade,T0002962,0.85,OVERPRICED,+5.9σ vs median
trade,T0002921,0.85,OVERPRICED,+5.9σ vs median
trade,T0002939,0.85,OVERPRICED,+5.9σ vs median
trade,T0002991,0.85,OVERPRICED,+5.9σ vs median
trade,T0003045,0.85,OVERPRICED,+5.9σ vs median
trade,T0003130,0.85,OVERPRICED,+5.9σ vs median
trade,T0003207,0.85,OVERPRICED,+5.9σ vs median
trade,T0003196,0.85,OVERPRICED,+5.9σ vs median
trade,T0005472,0.85,UNDERPRICED,-3.7σ vs median
trade,T0005511,0.85,UNDERPRICED,-3.7σ vs median
trade,T0005502,0.85,UNDERPRICED,-3.7σ vs median
trade,T0005527,0.85,UNDERPRICED,-3.7σ vs median
trade,T0000255,0.85,UNDERPRICED,-27.4σ vs median
trade,T0000322,0.85,UNDERPRICED,-27.4σ vs median
trade,T0000376,0.85,UNDERPRICED,-40.7σ vs median
trade,T0000361,0.85,UNDERPRICED,-40.7σ vs median
trade,T0001259,0.85,OVERPRICED,+13.2σ vs median
trade,T0001250,0.85,OVERPRICED,+13.2σ vs median
trade,T0001407,0.85,OVERPRICED,+13.2σ vs median
trade,T0001695,0.85,OVERPRICED,+2.7σ vs median
trade,T0005723,0.85,UNDERPRICED,-85.8σ vs median
trade,T0002424,0.85,UNDERPRICED,-12.0σ vs median
trade,T0002530,0.85,UNDERPRICED,-2.6σ vs median
trade,T0005733,0.85,UNDERPRICED,-3.3σ vs median
trade,T0004197,0.85,OVERPRICED,+2.9σ vs median
trade,T0004288,0.85,OVERPRICED,+25.5σ vs median
trade,T0004357,0.85,OVERPRICED,+17.4σ vs median
trade,T0004384,0.85,OVERPRICED,+8.7σ vs median
trade,T0004626,0.85,UNDERPRICED,-3.0σ vs median
trade,T0004617,0.85,UNDERPRICED,-3.0σ vs median
trade,T0004613,0.85,UNDERPRICED,-3.0σ vs median
trade,T0002469,0.85,OVERPRICED,+22.0σ vs median
trade,T0002422,0.85,OVERPRICED,+22.0σ vs median
trade,T0002486,0.85,OVERPRICED,+22.0σ vs median
trade,T0002456,0.85,OVERPRICED,+22.0σ vs median
trade,T0002598,0.85,OVERPRICED,+22.0σ vs median
trade,T0002626,0.85,OVERPRICED,+22.0σ vs median
trade,T0004243,0.85,OVERPRICED,+3.7σ vs median
trade,T0004260,0.85,OVERPRICED,+3.7σ vs median
trade,T0004309,0.85,UNDERPRICED,-9.3σ vs median
trade,T0004299,0.85,UNDERPRICED,-9.3σ vs median
trade,T0004270,0.85,UNDERPRICED,-9.3σ vs median
trade,T0004371,0.85,UNDERPRICED,-9.3σ vs median
trade,T0004375,0.85,UNDERPRICED,-9.3σ vs median
trade,T0004428,0.85,UNDERPRICED,-17.5σ vs median
trade,T0004461,0.85,UNDERPRICED,-17.5σ vs median
trade,T0004483,0.85,UNDERPRICED,-17.5σ vs median
trade,T0004623,0.85,UNDERPRICED,-17.5σ vs median
trade,T0004732,0.85,UNDERPRICED,-17.5σ vs median
trade,T0004752,0.85,UNDERPRICED,-3.2σ vs median
trade,T0004787,0.85,UNDERPRICED,-3.2σ vs median
trade,T0005700,0.85,OVERPRICED,+12.4σ vs median
trade,T0000144,0.85,UNDERPRICED,-17.1σ vs median
trade,T0000110,0.85,UNDERPRICED,-17.1σ vs median
trade,T0000127,0.85,UNDERPRICED,-4.9σ vs median
trade,T0000752,0.85,UNDERPRICED,-4.1σ vs median
trade,T0000880,0.85,UNDERPRICED,-19.4σ vs median
trade,T0000918,0.85,UNDERPRICED,-19.4σ vs median
trade,T0000957,0.85,UNDERPRICED,-19.4σ vs median
trade,T0000927,0.85,UNDERPRICED,-19.4σ vs median
trade,T0000945,0.85,UNDERPRICED,-19.4σ vs median
trade,T0001094,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001091,0.85,UNDERPRICED,-3.2σ vs median
trade,T0002350,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002337,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002452,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002489,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002552,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002580,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002571,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002677,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002692,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002696,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002695,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002711,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002691,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002841,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002802,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002866,0.85,UNDERPRICED,-8.5σ vs median
trade,T0002814,0.85,UNDERPRICED,-8.5σ vs median
