item_id,rarity,base_value,drop_rate
I0000,legendary,3593.18,0.0018769282839582748
I0001,legendary,3600.84,0.0009159687721662033
I0002,legendary,2717.82,0.00205004482150082
I0003,common,56.37,0.07873606248428107
I0004,common,55.16,0.144534236022349
I0005,rare,402.04,0.013564705738700188
I0006,rare,411.08,0.014629406312616914
I0007,rare,460.22,0.008108617832996004
I0008,common,51.88,0.11443554822064407
I0009,common,52.59,0.12223884392363642
I0010,common,46.14,0.07368606383647344
I0011,common,49.07,0.06778583917040516
I0012,rare,505.78,0.00977143732949798
I0013,legendary,3462.98,0.0019236809596632084
I0014,rare,478.84,0.009527654830430603
I0015,common,47.54,0.14706711608267206
I0016,common,48.58,0.1442024199907231
I0017,common,50.16,0.06642150305165616
I0018,common,40.24,0.023837183802541732
I0019,common,56.88,0.1412364439607577
I0020,common,44.08,0.1349026755376511
I0021,common,54.86,0.1309668611749117
I0022,rare,459.1,0.01690633779375397
I0023,rare,440.91,0.018816940755643406
I0024,common,47.21,0.05650332613815887
I0025,rare,315.41,0.00862287110653425
I0026,common,60.33,0.1310778700733593
I0027,common,63.86,0.021038917896806064
I0028,common,48.93,0.04055356196805111
I0029,rare,399.67,0.015405037950464133
I0030,common,53.29,0.02317688836763652
I0031,common,47.35,0.12315188569186582
I0032,common,40.25,0.09727626427760143
I0033,common,44.81,0.05960675888591604
I0034,common,38.1,0.0981393595534114
I0035,legendary,3060.49,0.0018584747823577998
I0036,common,45.71,0.054293191908767274
I0037,common,41.84,0.1213577557152064
I0038,rare,374.54,0.0061392970511258745
I0039,common,55.23,0.11231624020367582
