entity_type,entity_id,fraud_type,is_fraud
trade,T0005779,wash_trading,1
listing,L0004576,wash_trading,1
trade,T0005780,wash_trading,1
listing,L0004577,wash_trading,1
trade,T0005781,wash_trading,1
listing,L0004578,wash_trading,1
trade,T0005782,wash_trading,1
listing,L0004579,wash_trading,1
trade,T0005783,wash_trading,1
listing,L0004580,wash_trading,1
trade,T0005784,wash_trading,1
listing,L0004581,wash_trading,1
trade,T0005785,wash_trading,1
listing,L0004582,wash_trading,1
trade,T0005786,wash_trading,1
listing,L0004583,wash_trading,1
trade,T0005787,wash_trading,1
listing,L0004584,wash_trading,1
trade,T0005788,wash_trading,1
listing,L0004585,wash_trading,1
trade,T0005789,wash_trading,1
listing,L0004586,wash_trading,1
trade,T0005790,wash_trading,1
listing,L0004587,wash_trading,1
trade,T0005791,wash_trading,1
listing,L0004588,wash_trading,1
trade,T0005792,wash_trading,1
listing,L0004589,wash_trading,1
trade,T0005793,wash_trading,1
listing,L0004590,wash_trading,1
trade,T0005794,wash_trading,1
listing,L0004591,wash_trading,1
trade,T0005795,wash_trading,1
listing,L0004592,wash_trading,1
trade,T0005796,wash_trading,1
listing,L0004593,wash_trading,1
trade,T0005797,wash_trading,1
listing,L0004594,wash_trading,1
trade,T0005798,wash_trading,1
listing,L0004595,wash_trading,1
trade,T0005799,wash_trading,1
listing,L0004596,wash_trading,1
trade,T0005800,wash_trading,1
listing,L0004597,wash_trading,1
trade,T0005801,wash_trading,1
listing,L0004598,wash_trading,1
trade,T0005802,wash_trading,1
listing,L0004599,wash_trading,1
trade,T0005803,wash_trading,1
listing,L0004600,wash_trading,1
trade,T0005804,wash_trading,1
listing,L0004601,wash_trading,1
trade,T0005805,wash_trading,1
listing,L0004602,wash_trading,1
trade,T0005806,wash_trading,1
listing,L0004603,wash_trading,1
trade,T0005807,wash_trading,1
listing,L0004604,wash_trading,1
trade,T0005808,wash_trading,1
listing,L0004605,wash_trading,1
trade,T0005809,wash_trading,1
listing,L0004606,wash_trading,1
trade,T0005810,wash_trading,1
listing,L0004607,wash_trading,1
trade,T0005811,wash_trading,1
listing,L0004608,wash_trading,1
trade,T0005812,wash_trading,1
listing,L0004609,wash_trading,1
trade,T0005813,wash_trading,1
listing,L0004610,wash_trading,1
trade,T0005814,wash_trading,1
listing,L0004611,wash_trading,1
trade,T0005815,wash_trading,1
listing,L0004612,wash_trading,1
trade,T0005816,wash_trading,1
listing,L0004613,wash_trading,1
trade,T0005817,wash_trading,1
listing,L0004614,wash_trading,1
trade,T0005818,wash_trading,1
listing,L0004615,wash_trading,1
trade,T0005819,wash_trading,1
listing,L0004616,wash_trading,1
trade,T0005820,wash_trading,1
listing,L0004617,wash_trading,1
trade,T0005821,wash_trading,1
listing,L0004618,wash_trading,1
trade,T0005822,wash_trading,1
listing,L0004619,wash_trading,1
trade,T0005823,wash_trading,1
listing,L0004620,wash_trading,1
trade,T0005824,wash_trading,1
listing,L0004621,wash_trading,1
trade,T0005825,wash_trading,1
listing,L0004622,wash_trading,1
trade,T0005826,wash_trading,1
listing,L0004623,wash_trading,1
trade,T0005827,mule_transfer,1
listing,L0004624,mule_transfer,1
account,P00036,mule_transfer,1
trade,T0005828,mule_transfer,1
listing,L0004625,mule_transfer,1
account,P00016,mule_transfer,1
trade,T0005829,mule_transfer,1
listing,L0004626,mule_transfer,1
account,P00513,mule_transfer,1
trade,T0005830,mule_transfer,1
listing,L0004627,mule_transfer,1
account,P00484,mule_transfer,1
trade,T0005831,mule_transfer,1
listing,L0004628,mule_transfer,1
account,P00437,mule_transfer,1
trade,T0005832,mule_transfer,1
listing,L0004629,mule_transfer,1
account,P00573,mule_transfer,1
trade,T0005833,mule_transfer,1
listing,L0004630,mule_transfer,1
account,P00540,mule_transfer,1
trade,T0005834,mule_transfer,1
listing,L0004631,mule_transfer,1
account,P00522,mule_transfer,1
trade,T0005835,mule_transfer,1
listing,L0004632,mule_transfer,1
account,P00478,mule_transfer,1
trade,T0005836,mule_transfer,1
listing,L0004633,mule_transfer,1
account,P00091,mule_transfer,1
trade,T0005837,mule_transfer,1
listing,L0004634,mule_transfer,1
account,P00074,mule_transfer,1
trade,T0005838,mule_transfer,1
listing,L0004635,mule_transfer,1
account,P00376,mule_transfer,1
trade,T0005839,collusive_flip,1
listing,L0004636,collusive_flip,1
trade,T0005840,collusive_flip,1
listing,L0004637,collusive_flip,1
trade,T0005841,collusive_flip,1
listing,L0004638,collusive_flip,1
trade,T0005842,collusive_flip,1
listing,L0004639,collusive_flip,1
trade,T0005843,collusive_flip,1
listing,L0004640,collusive_flip,1
trade,T0005844,collusive_flip,1
listing,L0004641,collusive_flip,1
trade,T0005845,collusive_flip,1
listing,L0004642,collusive_flip,1
trade,T0005846,collusive_flip,1
listing,L0004643,collusive_flip,1
trade,T0005847,collusive_flip,1
listing,L0004644,collusive_flip,1
trade,T0005848,collusive_flip,1
listing,L0004645,collusive_flip,1
trade,T0005849,collusive_flip,1
listing,L0004646,collusive_flip,1
trade,T0005850,collusive_flip,1
