player_id,region,playstyle,account_age_days
P00000,ASIA,casual,648
P00001,EU,trader,454
P00002,ASIA,raider,617
P00003,ASIA,casual,364
P00004,ASIA,trader,955
P00005,EU,casual,498
P00006,EU,trader,309
P00007,EU,casual,464
P00008,NA,raider,913
P00009,ASIA,casual,156
P00010,EU,casual,317
P00011,EU,trader,60
P00012,NA,raider,397
P00013,EU,trader,59
P00014,EU,trader,1026
P00015,EU,casual,508
P00016,EU,trader,1
P00017,EU,farmer,864
P00018,ASIA,casual,943
P00019,EU,casual,786
P00020,ASIA,casual,810
P00021,NA,raider,120
P00022,EU,casual,652
P00023,ASIA,trader,66
P00024,NA,raider,884
P00025,NA,trader,827
P00026,EU,raider,388
P00027,NA,casual,272
P00028,ASIA,casual,121
P00029,NA,farmer,694
P00030,EU,casual,476
P00031,EU,raider,666
P00032,ASIA,casual,746
P00033,NA,casual,395
P00034,ASIA,farmer,569
P00035,NA,raider,232
P00036,EU,farmer,1
P00037,EU,casual,373
P00038,EU,farmer,572
P00039,NA,casual,805
P00040,NA,casual,533
P00041,NA,casual,294
P00042,EU,raider,128
P00043,EU,casual,734
P00044,ASIA,raider,679
P00045,EU,casual,756
P00046,EU,farmer,531
P00047,EU,casual,917
P00048,ASIA,casual,1028
P00049,NA,casual,401
P00050,ASIA,casual,28
P00051,ASIA,casual,966
P00052,EU,farmer,799
P00053,EU,casual,406
P00054,EU,casual,536
P00055,EU,casual,619
P00056,ASIA,casual,616
P00057,EU,trader,470
P00058,EU,casual,224
P00059,ASIA,casual,1017
P00060,EU,casual,861
P00061,ASIA,casual,152
P00062,EU,trader,902
P00063,NA,farmer,1033
P00064,EU,raider,645
P00065,EU,casual,914
P00066,EU,farmer,578
P00067,EU,casual,139
P00068,EU,farmer,604
P00069,EU,casual,864
P00070,NA,casual,677
P00071,EU,casual,610
P00072,NA,casual,909
P00073,EU,farmer,18
P00074,ASIA,casual,13
P00075,NA,casual,713
P00076,NA,casual,43
