entity_type,entity_id,risk,code,detail
trade,T0000506,0.85,UNDERPRICED,-3.5σ vs median
trade,T0005713,0.85,UNDERPRICED,-7.1σ vs median
trade,T0004124,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004217,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004280,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004279,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004325,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004349,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004337,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004312,0.85,UNDERPRICED,-4.0σ vs median
trade,T0004391,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004419,0.85,UNDERPRICED,-4.0σ vs median
trade,T0004415,0.85,UNDERPRICED,-3.7σ vs median
trade,T0004458,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004504,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004520,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004529,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004533,0.85,UNDERPRICED,-4.0σ vs median
trade,T0004489,0.85,UNDERPRICED,-3.7σ vs median
trade,T0004565,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004557,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004605,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004588,0.85,UNDERPRICED,-4.0σ vs median
trade,T0004621,0.85,UNDERPRICED,-4.0σ vs median
trade,T0004795,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004891,0.85,UNDERPRICED,-4.4σ vs median
trade,T0004863,0.85,UNDERPRICED,-4.4σ vs median
trade,T0000762,0.85,UNDERPRICED,-11.4σ vs median
trade,T0000912,0.85,UNDERPRICED,-11.4σ vs median
trade,T0000959,0.85,UNDERPRICED,-11.4σ vs median
trade,T0001096,0.85,UNDERPRICED,-15.1σ vs median
trade,T0001090,0.85,UNDERPRICED,-15.1σ vs median
trade,T0001073,0.85,UNDERPRICED,-15.1σ vs median
trade,T0001204,0.85,UNDERPRICED,-15.1σ vs median
trade,T0001250,0.85,UNDERPRICED,-15.1σ vs median
trade,T0001306,0.85,UNDERPRICED,-15.1σ vs median
trade,T0002818,0.85,OVERPRICED,+8.2σ vs median
trade,T0002830,0.85,OVERPRICED,+8.2σ vs median
trade,T0002891,0.85,OVERPRICED,+3.7σ vs median
trade,T0002930,0.85,OVERPRICED,+3.7σ vs median
trade,T0002970,0.85,OVERPRICED,+3.7σ vs median
trade,T0002998,0.85,OVERPRICED,+3.7σ vs median
trade,T0002973,0.85,OVERPRICED,+3.7σ vs median
trade,T0003057,0.85,OVERPRICED,+3.7σ vs median
