player_id,region,playstyle,account_age_days
P00000,NA,casual,89
P00001,EU,casual,852
P00002,EU,trader,736
P00003,NA,farmer,674
P00004,EU,trader,744
P00005,ASIA,farmer,623
P00006,EU,casual,989
P00007,EU,casual,572
P00008,NA,farmer,663
P00009,EU,casual,890
P00010,ASIA,casual,1068
P00011,ASIA,casual,698
P00012,EU,trader,640
P00013,EU,trader,463
P00014,EU,casual,1025
P00015,NA,trader,523
P00016,NA,casual,599
P00017,ASIA,casual,410
P00018,ASIA,casual,153
P00019,EU,casual,166
P00020,NA,farmer,100
P00021,EU,casual,809
P00022,NA,casual,1013
P00023,EU,casual,788
P00024,ASIA,casual,713
P00025,ASIA,casual,29
P00026,NA,trader,467
P00027,EU,casual,256
P00028,EU,casual,887
P00029,ASIA,farmer,956
P00030,NA,trader,551
P00031,ASIA,casual,1037
P00032,EU,casual,984
P00033,EU,trader,474
P00034,NA,casual,1034
P00035,ASIA,casual,379
P00036,EU,casual,831
P00037,EU,raider,919
P00038,EU,casual,878
P00039,ASIA,casual,116
P00040,EU,casual,974
P00041,NA,casual,892
P00042,EU,raider,1016
P00043,EU,casual,697
P00044,EU,raider,22
P00045,EU,raider,737
P00046,NA,trader,256
P00047,NA,casual,913
P00048,EU,casual,453
P00049,NA,casual,390
P00050,NA,casual,908
P00051,NA,casual,728
P00052,ASIA,raider,513
P00053,EU,casual,134
P00054,EU,casual,1054
P00055,NA,casual,109
P00056,EU,casual,366
P00057,NA,casual,1051
P00058,NA,farmer,412
P00059,EU,casual,671
P00060,ASIA,raider,341
P00061,EU,farmer,953
P00062,EU,farmer,339
P00063,EU,raider,460
P00064,ASIA,casual,525
P00065,ASIA,raider,293
P00066,NA,casual,763
P00067,EU,casual,381
P00068,EU,raider,568
P00069,ASIA,trader,1003
P00070,ASIA,casual,188
P00071,NA,farmer,1001
P00072,ASIA,raider,472
P00073,EU,raider,63
P00074,NA,casual,240
P00075,NA,casual,548
P00076,NA,casual,984
P00077,NA,casual,1048
P00078,EU,casual,889
P00079,EU,casual,1050
P00080,EU,raider,954
P00081,EU,farmer,934
P00082,NA,farmer,179
P00083,EU,raider,77
P00084,ASIA,casual,372
P00085,EU,farmer,469
P00086,NA,casual,345
P00087,NA,farmer,934
P00088,EU,trader,711
P00089,ASIA,trader,532
P00090,NA,casual,660
P00091,EU,casual,685
P00092,EU,casual,324
P00093,NA,casual,691
P00094,EU,farmer,80
P00095,EU,casual,134
P00096,ASIA,casual,470
P00097,NA,farmer,612
P00098,EU,casual,742
P00099,EU,casual,419
P00100,NA,casual,33
P00101,ASIA,casual,366
P00102,EU,casual,189
P00103,NA,raider,158
P00104,EU,casual,271
P00105,NA,farmer,443
P00106,EU,trader,962
P00107,NA,casual,132
P00108,NA,casual,75
P00109,EU,raider,733
P00110,NA,raider,20
P00111,EU,casual,71
P00112,NA,casual,302
P00113,NA,casual,667
P00114,NA,trader,963
P00115,NA,raider,317
P00116,EU,casual,31
P00117,EU,farmer,996
P00118,EU,farmer,905
P00119,NA,casual,912
P00120,EU,raider,80
P00121,ASIA,casual,566
P00122,ASIA,casual,700
P00123,EU,casual,763
P00124,EU,casual,320
P00125,ASIA,casual,98
P00126,NA,farmer,680
P00127,NA,casual,740
P00128,ASIA,farmer,48
P00129,EU,casual,985
P00130,NA,casual,582
P00131,NA,raider,976
P00132,EU,trader,987
P00133,EU,raider,215
P00134,NA,casual,848
P00135,ASIA,farmer,466
P00136,NA,casual,279
P00137,ASIA,casual,307
P00138,NA,trader,797
P00139,EU,casual,806
P00140,ASIA,trader,642
P00141,NA,trader,278
P00142,ASIA,casual,426
P00143,EU,trader,363
P00144,EU,raider,397
P00145,EU,raider,225
P00146,ASIA,raider,478
P00147,NA,farmer,16
P00148,EU,casual,944
P00149,EU,raider,354
P00150,NA,casual,793
P00151,EU,raider,831
P00152,EU,farmer,951
P00153,ASIA,casual,586
P00154,EU,casual,956
P00155,EU,raider,89
P00156,ASIA,farmer,575
P00157,NA,casual,517
P00158,EU,casual,132
P00159,ASIA,casual,677
P00160,NA,trader,1051
P00161,ASIA,casual,676
P00162,EU,farmer,148
P00163,NA,casual,947
P00164,ASIA,casual,36
P00165,EU,raider,373
P00166,ASIA,farmer,827
P00167,EU,trader,62
P00168,EU,trader,515
P00169,EU,casual,373
P00170,ASIA,casual,255
P00171,EU,casual,925
