trade_id,ts,buyer_id,seller_id,item_id,qty,price,listing_id
T0000001,2025-01-01 00:00:00,P00470,P00151,I0020,1,55.95,L0000014
T0000023,2025-01-01 00:00:00,P00406,P00026,I0032,1,56.9,L0000003
T0000025,2025-01-01 00:00:00,P00102,P00062,I0005,1,43.69,L0000005
T0000027,2025-01-01 00:00:00,P00202,P00375,I0008,1,45.89,L0000025
T0000028,2025-01-01 00:00:00,P00543,P00138,I0028,1,58.26,L0000013
T0000029,2025-01-01 00:00:00,P00244,P00348,I0030,1,30.94,L0000024
T0000030,2025-01-01 00:00:00,P00076,P00001,I0007,1,45.03,L0000001
T0000031,2025-01-01 00:00:00,P00560,P00032,I0012,1,495.21,L0000004
T0000032,2025-01-01 00:00:00,P00314,P00026,I0032,1,56.9,L0000003
T0000033,2025-01-01 00:00:00,P00469,P00375,I0008,1,45.89,L0000025
T0000026,2025-01-01 00:00:00,P00288,P00109,I0025,1,49.24,L0000010
T0000035,2025-01-01 00:00:00,P00234,P00300,I0021,1,53.05,L0000019
T0000037,2025-01-01 00:00:00,P00557,P00533,I0010,1,20.87,L0000033
T0000038,2025-01-01 00:00:00,P00357,P00189,I0023,1,41.88,L0000016
T0000039,2025-01-01 00:00:00,P00539,P00023,I0004,1,49.76,L0000002
T0000040,2025-01-01 00:00:00,P00088,P00571,I0037,1,292.93,L0000039
T0000042,2025-01-01 00:00:00,P00147,P00095,I0009,1,35.03,L0000006
T0000044,2025-01-01 00:00:00,P00440,P00533,I0010,1,20.87,L0000033
T0000043,2025-01-01 00:00:00,P00010,P00123,I0039,1,64.52,L0000011
T0000034,2025-01-01 00:00:00,P00327,P00151,I0020,1,55.95,L0000014
T0000024,2025-01-01 00:00:00,P00213,P00123,I0039,1,64.52,L0000011
T0000015,2025-01-01 00:00:00,P00538,P00123,I0039,1,64.52,L0000011
T0000041,2025-01-01 00:00:00,P00178,P00555,I0013,1,55.04,L0000037
T0000021,2025-01-01 00:00:00,P00338,P00001,I0007,1,45.03,L0000001
T0000022,2025-01-01 00:00:00,P00155,P00096,I0035,1,461.36,L0000007
T0000002,2025-01-01 00:00:00,P00466,P00062,I0005,1,43.69,L0000005
T0000003,2025-01-01 00:00:00,P00444,P00151,I0020,1,55.95,L0000014
T0000004,2025-01-01 00:00:00,P00026,P00109,I0025,1,49.24,L0000010
T0000036,2025-01-01 00:00:00,P00187,P00348,I0030,1,30.94,L0000024
T0000005,2025-01-01 00:00:00,P00276,P00300,I0021,1,53.05,L0000019
T0000007,2025-01-01 00:00:00,P00186,P00109,I0025,1,49.24,L0000010
T0000008,2025-01-01 00:00:00,P00374,P00189,I0023,1,41.88,L0000016
T0000010,2025-01-01 00:00:00,P00570,P00123,I0039,1,64.52,L0000011
T0000009,2025-01-01 00:00:00,P00340,P00062,I0005,1,43.69,L0000005
T0000012,2025-01-01 00:00:00,P00360,P00345,I0033,1,39.17,L0000023
T0000013,2025-01-01 00:00:00,P00344,P00309,I0003,1,34.56,L0000020
T0000014,2025-01-01 00:00:00,P00065,P00348,I0030,1,30.94,L0000024
T0000016,2025-01-01 00:00:00,P00462,P00555,I0013,1,55.04,L0000037
T0000017,2025-01-01 00:00:00,P00382,P00032,I0012,1,495.21,L0000004
T0000018,2025-01-01 00:00:00,P00330,P00001,I0007,1,45.03,L0000001
T0000019,2025-01-01 00:00:00,P00164,P00533,I0010,1,20.87,L0000033
T0000011,2025-01-01 00:00:00,P00196,P00151,I0020,1,55.95,L0000014
T0000020,2025-01-01 00:00:00,P00502,P00309,I0003,1,34.56,L0000020
T0000006,2025-01-01 00:00:00,P00400,P00026,I0032,1,56.9,L0000003
T0005643,2025-01-01 00:41:00,P00582,P00191,I0014,1,139.99,L0004573
T0005651,2025-01-01 00:43:00,P00518,P00485,I0039,1,93.35,L0004581
T0005675,2025-01-01 00:46:00,P00527,P00110,I0022,1,107.73,L0004605
T0005661,2025-01-01 00:52:00,P00332,P00219,I0016,1,136.29,L0004591
T0005659,2025-01-01 00:53:00,P00268,P00332,I0016,1,136.29,L0004589
T0005656,2025-01-01 00:57:00,P00485,P00493,I0039,1,93.35,L0004586
T0005684,2025-01-01 00:57:00,P00237,P00115,I0010,1,41.14,L0004614
T0000081,2025-01-01 01:00:00,P00312,P00392,I0024,1,48.72,L0000027
T0000080,2025-01-01 01:00:00,P00205,P00212,I0036,1,49.0,L0000056
T0000076,2025-01-01 01:00:00,P00037,P00062,I0005,1,43.69,L0000005
T0000078,2025-01-01 01:00:00,P00118,P00273,I0014,1,63.46,L0000061
T0000085,2025-01-01 01:00:00,P00548,P00026,I0032,1,56.9,L0000003
T0000075,2025-01-01 01:00:00,P00196,P00037,I0003,1,29.76,L0000044
T0000079,2025-01-01 01:00:00,P00031,P00212,I0036,1,49.0,L0000056
T0000098,2025-01-01 01:00:00,P00539,P00000,I0012,1,429.27,L0000041
T0000088,2025-01-01 01:00:00,P00443,P00095,I0009,1,35.03,L0000006
T0000089,2025-01-01 01:00:00,P00021,P00014,I0023,1,36.22,L0000042
T0000090,2025-01-01 01:00:00,P00017,P00062,I0005,1,43.69,L0000005
T0000077,2025-01-01 01:00:00,P00319,P00375,I0008,1,45.89,L0000025
T0000092,2025-01-01 01:00:00,P00072,P00218,I0016,1,61.95,L0000057
T0000093,2025-01-01 01:00:00,P00580,P00082,I0022,1,57.97,L0000049
T0000095,2025-01-01 01:00:00,P00103,P00212,I0036,1,49.0,L0000056
T0000097,2025-01-01 01:00:00,P00371,P00264,I0020,1,54.94,L0000060
T0000099,2025-01-01 01:00:00,P00210,P00348,I0030,1,30.94,L0000024
T0000091,2025-01-01 01:00:00,P00401,P00392,I0024,1,48.72,L0000027
T0000074,2025-01-01 01:00:00,P00004,P00348,I0030,1,30.94,L0000024
T0000073,2025-01-01 01:00:00,P00500,P00095,I0009,1,35.03,L0000006
T0000045,2025-01-01 01:00:00,P00070,P00533,I0010,1,20.87,L0000033
T0000096,2025-01-01 01:00:00,P00060,P00353,I0026,1,59.04,L0000066
T0000100,2025-01-01 01:00:00,P00251,P00026,I0032,1,56.9,L0000003
T0000071,2025-01-01 01:00:00,P00541,P00300,I0021,1,53.05,L0000019
T0000087,2025-01-01 01:00:00,P00173,P00273,I0014,1,63.46,L0000061
