listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000001,2025-01-01 00:00:00,P00003,EU,I0014,1,51.76,2025-01-01 18:00:00
L0000028,2025-01-01 00:00:00,P00396,EU,I0004,2,52.77,2025-01-01 14:00:00
L0000029,2025-01-01 00:00:00,P00402,ASIA,I0037,2,42.87,2025-01-02 05:00:00
L0000030,2025-01-01 00:00:00,P00406,EU,I0028,1,48.05,2025-01-02 02:00:00
L0000031,2025-01-01 00:00:00,P00407,EU,I0007,1,32.08,2025-01-02 07:00:00
L0000032,2025-01-01 00:00:00,P00410,EU,I0037,2,53.45,2025-01-02 09:00:00
L0000033,2025-01-01 00:00:00,P00419,EU,I0035,4,43.88,2025-01-02 07:00:00
L0000034,2025-01-01 00:00:00,P00432,NA,I0019,3,43.87,2025-01-02 07:00:00
L0000035,2025-01-01 00:00:00,P00435,EU,I0035,2,42.87,2025-01-01 14:00:00
L0000037,2025-01-01 00:00:00,P00455,EU,I0027,1,38.61,2025-01-01 16:00:00
L0000027,2025-01-01 00:00:00,P00393,NA,I0012,5,49.96,2025-01-02 11:00:00
L0000036,2025-01-01 00:00:00,P00443,ASIA,I0024,1,52.21,2025-01-02 04:00:00
L0000040,2025-01-01 00:00:00,P00488,ASIA,I0028,2,61.35,2025-01-01 23:00:00
L0000041,2025-01-01 00:00:00,P00490,NA,I0009,1,39.97,2025-01-02 11:00:00
L0000042,2025-01-01 00:00:00,P00511,EU,I0015,1,42.55,2025-01-01 22:00:00
L0000043,2025-01-01 00:00:00,P00513,EU,I0028,1,38.22,2025-01-02 09:00:00
L0000044,2025-01-01 00:00:00,P00514,EU,I0033,2,44.08,2025-01-02 01:00:00
L0000045,2025-01-01 00:00:00,P00543,EU,I0019,1,51.26,2025-01-01 17:00:00
L0000047,2025-01-01 00:00:00,P00570,NA,I0028,2,48.54,2025-01-01 21:00:00
L0000038,2025-01-01 00:00:00,P00469,EU,I0025,2,49.61,2025-01-01 17:00:00
L0000039,2025-01-01 00:00:00,P00487,EU,I0024,1,49.41,2025-01-02 05:00:00
L0000026,2025-01-01 00:00:00,P00351,ASIA,I0015,1,44.47,2025-01-01 17:00:00
L0000025,2025-01-01 00:00:00,P00349,EU,I0022,2,39.1,2025-01-01 20:00:00
L0000046,2025-01-01 00:00:00,P00557,EU,I0011,2,50.52,2025-01-02 02:00:00
L0000023,2025-01-01 00:00:00,P00309,EU,I0033,3,46.36,2025-01-01 19:00:00
L0000003,2025-01-01 00:00:00,P00029,EU,I0018,1,41.11,2025-01-02 00:00:00
L0000004,2025-01-01 00:00:00,P00041,EU,I0011,3,40.21,2025-01-01 13:00:00
L0000005,2025-01-01 00:00:00,P00044,NA,I0033,4,42.6,2025-01-01 15:00:00
L0000024,2025-01-01 00:00:00,P00318,NA,I0028,3,52.35,2025-01-02 09:00:00
L0000006,2025-01-01 00:00:00,P00050,NA,I0010,1,2475.87,2025-01-02 08:00:00
L0000008,2025-01-01 00:00:00,P00077,EU,I0038,1,42.34,2025-01-02 10:00:00
L0000009,2025-01-01 00:00:00,P00084,NA,I0018,2,39.5,2025-01-01 13:00:00
L0000011,2025-01-01 00:00:00,P00118,EU,I0021,1,58.51,2025-01-02 07:00:00
L0000007,2025-01-01 00:00:00,P00068,NA,I0013,1,52.22,2025-01-01 20:00:00
L0000002,2025-01-01 00:00:00,P00011,NA,I0014,1,40.87,2025-01-02 04:00:00
L0000010,2025-01-01 00:00:00,P00107,EU,I0001,2,60.03,2025-01-01 16:00:00
L0000015,2025-01-01 00:00:00,P00214,ASIA,I0011,1,42.11,2025-01-01 14:00:00
L0000014,2025-01-01 00:00:00,P00204,EU,I0033,1,38.25,2025-01-02 08:00:00
L0000013,2025-01-01 00:00:00,P00193,ASIA,I0025,1,54.84,2025-01-02 02:00:00
L0000012,2025-01-01 00:00:00,P00187,EU,I0020,4,49.82,2025-01-01 17:00:00
L0000021,2025-01-01 00:00:00,P00299,ASIA,I0027,2,51.32,2025-01-02 11:00:00
L0000020,2025-01-01 00:00:00,P00292,NA,I0037,1,47.14,2025-01-01 23:00:00
L0000022,2025-01-01 00:00:00,P00300,NA,I0004,1,54.55,2025-01-01 12:00:00
L0000018,2025-01-01 00:00:00,P00247,EU,I0017,1,507.92,2025-01-02 00:00:00
L0000017,2025-01-01 00:00:00,P00235,EU,I0017,1,408.32,2025-01-01 19:00:00
L0000016,2025-01-01 00:00:00,P00232,EU,I0027,3,53.34,2025-01-01 23:00:00
L0000019,2025-01-01 00:00:00,P00254,ASIA,I0015,2,44.43,2025-01-01 23:00:00
L0004526,2025-01-01 00:37:00,P00455,,I0023,1,832.68,2025-01-01 06:37:00
L0004518,2025-01-01 00:39:00,P00033,,I0008,1,41.32,2025-01-01 06:39:00
L0004512,2025-01-01 00:41:00,P00503,,I0015,1,67.78,2025-01-01 06:41:00
L0004496,2025-01-01 00:43:00,P00296,,I0014,1,85.82,2025-01-01 06:43:00
L0004535,2025-01-01 00:48:00,P00277,,I0017,1,840.25,2025-01-01 06:48:00
L0004495,2025-01-01 00:49:00,P00148,,I0014,1,85.82,2025-01-01 06:49:00
L0004502,2025-01-01 00:51:00,P00593,,I0023,1,832.68,2025-01-01 06:51:00
L0004534,2025-01-01 00:52:00,P00517,,I0017,1,840.25,2025-01-01 06:52:00
L0004538,2025-01-01 00:55:00,P00277,,I0017,1,840.25,2025-01-01 06:55:00
L0004536,2025-01-01 00:56:00,P00481,,I0017,1,840.25,2025-01-01 06:56:00
L0004531,2025-01-01 00:56:00,P00575,,I0023,1,832.68,2025-01-01 06:56:00
L0004530,2025-01-01 00:58:00,P00310,,I0023,1,832.68,2025-01-01 06:58:00
L0004504,2025-01-01 00:58:00,P00135,,I0023,1,832.68,2025-01-01 06:58:00
L0000088,2025-01-01 01:00:00,P00432,NA,I0026,2,345.25,2025-01-01 20:00:00
L0000100,2025-01-01 01:00:00,P00597,NA,I0014,1,47.93,2025-01-01 21:00:00
L0000090,2025-01-01 01:00:00,P00509,EU,I0018,1,44.03,2025-01-01 18:00:00
L0000091,2025-01-01 01:00:00,P00516,EU,I0007,1,27.88,2025-01-01 19:00:00
L0000055,2025-01-01 01:00:00,P00075,ASIA,I0028,1,61.67,2025-01-02 09:00:00
L0000093,2025-01-01 01:00:00,P00538,EU,I0000,1,48.25,2025-01-02 06:00:00
L0000094,2025-01-01 01:00:00,P00565,NA,I0023,2,362.15,2025-01-01 23:00:00
L0000096,2025-01-01 01:00:00,P00575,EU,I0014,1,44.73,2025-01-01 19:00:00
L0000097,2025-01-01 01:00:00,P00576,NA,I0001,2,68.86,2025-01-02 01:00:00
L0000092,2025-01-01 01:00:00,P00537,ASIA,I0028,2,50.82,2025-01-01 16:00:00
L0000099,2025-01-01 01:00:00,P00588,NA,I0019,3,53.87,2025-01-02 09:00:00
L0000053,2025-01-01 01:00:00,P00070,EU,I0038,2,43.18,2025-01-01 15:00:00
L0000051,2025-01-01 01:00:00,P00047,EU,I0007,1,34.3,2025-01-01 17:00:00
L0000082,2025-01-01 01:00:00,P00336,ASIA,I0014,1,41.84,2025-01-02 03:00:00
L0000050,2025-01-01 01:00:00,P00029,EU,I0020,1,44.62,2025-01-02 00:00:00
L0000074,2025-01-01 01:00:00,P00260,NA,I0022,1,33.5,2025-01-02 01:00:00
L0000048,2025-01-01 01:00:00,P00001,NA,I0020,1,34.56,2025-01-01 17:00:00
L0000073,2025-01-01 01:00:00,P00248,ASIA,I0000,1,46.41,2025-01-02 04:00:00
L0000098,2025-01-01 01:00:00,P00583,ASIA,I0018,1,37.59,2025-01-01 18:00:00
L0000063,2025-01-01 01:00:00,P00192,EU,I0025,1,60.34,2025-01-02 03:00:00
L0000095,2025-01-01 01:00:00,P00566,EU,I0034,2,341.52,2025-01-01 13:00:00
L0000076,2025-01-01 01:00:00,P00271,EU,I0007,1,33.64,2025-01-02 12:00:00
L0000101,2025-01-01 01:00:00,P00599,EU,I0015,1,29.18,2025-01-01 13:00:00
L0000075,2025-01-01 01:00:00,P00267,EU,I0000,2,43.27,2025-01-02 06:00:00
L0000089,2025-01-01 01:00:00,P00507,EU,I0019,2,41.16,2025-01-01 21:00:00
L0000052,2025-01-01 01:00:00,P00048,NA,I0019,1,38.48,2025-01-02 01:00:00
L0000087,2025-01-01 01:00:00,P00425,NA,I0035,1,58.47,2025-01-02 01:00:00
L0000068,2025-01-01 01:00:00,P00222,EU,I0005,2,43.04,2025-01-01 21:00:00
L0000080,2025-01-01 01:00:00,P00311,EU,I0021,1,41.89,2025-01-01 19:00:00
L0000081,2025-01-01 01:00:00,P00320,EU,I0020,2,40.68,2025-01-01 14:00:00
L0000069,2025-01-01 01:00:00,P00223,ASIA,I0013,2,53.36,2025-01-02 07:00:00
L0000078,2025-01-01 01:00:00,P00300,NA,I0037,1,45.02,2025-01-01 15:00:00
L0000071,2025-01-01 01:00:00,P00234,ASIA,I0029,2,64.38,2025-01-02 04:00:00
L0000079,2025-01-01 01:00:00,P00307,EU,I0025,3,73.03,2025-01-01 14:00:00
L0000049,2025-01-01 01:00:00,P00027,NA,I0018,2,38.82,2025-01-02 02:00:00
L0000059,2025-01-01 01:00:00,P00171,EU,I0014,1,52.68,2025-01-02 11:00:00
L0000058,2025-01-01 01:00:00,P00157,ASIA,I0003,1,361.22,2025-01-01 20:00:00
L0000060,2025-01-01 01:00:00,P00176,NA,I0017,1,480.85,2025-01-01 16:00:00
L0000072,2025-01-01 01:00:00,P00237,EU,I0014,1,56.76,2025-01-02 03:00:00
L0000062,2025-01-01 01:00:00,P00191,EU,I0007,1,39.55,2025-01-01 22:00:00
L0000065,2025-01-01 01:00:00,P00209,EU,I0025,2,57.11,2025-01-01 14:00:00
L0000061,2025-01-01 01:00:00,P00189,ASIA,I0000,2,52.72,2025-01-01 22:00:00
L0000057,2025-01-01 01:00:00,P00137,EU,I0008,1,25.83,2025-01-02 09:00:00
